p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.51915602785e-07	0.000547781732591	GO:0008285	b	5	negative regulation of cell proliferation	177; 367; 498; 928; 1805; 2100; 2172; 2191; 2625; 3012; 3624; 3640; 3776; 3851; 4194; 4303; 4601; 4856; 5270; 5364; 5796; 5797; 5918; 6424; 6788; 7046; 7434; 9982; 10181; 10397; 11180; 11235; 50507; 80173; 57152; 54997; 55840; 23213; 64081	RBM5; DPT; KRT4; AGER; FABP6; PTPRM; KCNK2; FOXO4; HIST1H2AE; NDRG1; TESC; CD9; SERPINE2; PLXNB1; ATP5A1; INSL3; INHBA; EAF2; VIPR2; FGFBP1; SULF1; WDR6; TGFBR1; IFT74; PBLD; AR; PDCD10; MDM4; GATA3; ESR2; SFRP4; MXI1; SLURP1; RARRES1; STK3; NOV; PTPRK; FAP; NOX4	653	645
2.50967213811e-06	0.000806859592404	GO:0050678	b	5	regulation of epithelial cell proliferation	177; 284; 498; 998; 2100; 2246; 2252; 2625; 3690; 3851; 5587; 5796; 5797; 6356; 6387; 7046; 7291; 11235; 80173; 57152; 55840; 23213; 64081	AGER; KRT4; PDCD10; TWIST1; ATP5A1; SULF1; EAF2; ANGPT1; ITGB3; IFT74; PBLD; FGF7; CXCL12; TGFBR1; GATA3; FGF1; CCL11; ESR2; SLURP1; PTPRM; PTPRK; PRKD1; CDC42	293	293
5.42809452878e-06	0.001163421594	GO:0010631	b	5	epithelial cell migration	177; 284; 949; 1634; 2191; 2246; 2252; 2625; 3640; 3673; 3690; 3868; 4856; 5587; 5797; 7046; 11235; 54828; 64081	DCN; ITGB3; PBLD; BCAS3; SCARB1; AGER; INSL3; GATA3; KRT16; PTPRM; PDCD10; ITGA2; PRKD1; FGF7; NOV; ANGPT1; TGFBR1; FAP; FGF1	222	222
3.38871359311e-05	0.00544735710092	GO:0051272	b	5	positive regulation of cellular component movement	177; 284; 949; 1812; 2246; 2252; 2625; 3640; 3673; 3676; 3690; 5587; 6317; 6356; 6376; 6387; 6546; 7046; 7291; 10630; 10631; 11235; 50507; 80310; 54828; 223117	ITGA2; ITGA4; AGER; PDPN; PDCD10; BCAS3; TWIST1; INSL3; CX3CL1; ANGPT1; ITGB3; PDGFD; POSTN; FGF7; SERPINB3; CXCL12; TGFBR1; GATA3; FGF1; CCL11; SEMA3D; SCARB1; DRD1; NOX4; PRKD1; SLC8A1	416	416
0.000167881717208	0.0208859137849	GO:0051174	b	5	regulation of phosphorus metabolic process	19; 114; 177; 284; 367; 554; 949; 998; 1634; 1812; 1845; 1917; 1946; 2100; 2246; 2252; 2773; 3306; 3481; 3589; 3624; 3640; 3673; 3690; 3845; 4142; 4214; 4982; 5587; 6317; 6356; 6376; 6622; 6788; 1133; 7046; 7078; 7291; 7410; 7434; 8398; 8550; 9052; 9814; 9891; 10203; 10451; 10892; 10961; 11200; 11235; 79648; 79706; 50507; 80310; 85363; 54829; 54997; 55105; 55450; 23307; 58533; 55607; 27250; 29990; 64081	MCPH1; HSPA2; FKBP15; TIMP3; TNFRSF11B; NUAK1; EEF1A2; AGER; NOX4; PDCD10; VAV3; MAPKAPK5; TESC; GPRC5A; GNAI3; SNX6; DCN; TWIST1; GPATCH2; ASPN; MAP3K1; INSL3; PLA2G6; INHBA; PILRB; VIPR2; SFI1; CX3CL1; PDCD4; ANGPT1; CHEK2; ITGA2; DUSP3; IGF2; ITGB3; PDGFD; CALCRL; ERP29; EFNA5; SNCA; PBLD; CHRM5; PPP1R9A; AR; MAS1; FGF7; SERPINB3; TGFBR1; FGF1; KRAS; PRKRIP1; CCL11; ESR2; IL11; AVPR2; VAV2; ADCY8; PRKD1; DRD1; STK3; MALT1; ABCA1; CAMK2N1; TRIM5; SCARB1; CDC42	1632	1629
0.000194891886017	0.0208859137849	GO:0010594	b	5	regulation of endothelial cell migration	177; 284; 949; 1634; 2246; 2625; 3690; 5587; 5797; 11235; 54828	DCN; ITGB3; SCARB1; AGER; PRKD1; BCAS3; PDCD10; PTPRM; ANGPT1; GATA3; FGF1	115	115
0.000276258790947	0.0253763432255	GO:0051271	b	5	negative regulation of cellular component movement	177; 397; 1634; 1812; 2625; 3868; 4681; 4856; 5796; 5797; 5800; 6387; 11235; 23213; 58516; 223117; 64081	DCN; CXCL12; SEMA3D; NBL1; AGER; SULF1; DRD1; KRT16; ARHGDIB; PBLD; PDCD10; PTPRO; FAM60A; NOV; PTPRM; PTPRK; GATA3	249	249
0.000361820663383	0.0290813358194	GO:0010634	b	5	positive regulation of epithelial cell migration	284; 949; 2246; 2252; 2625; 3640; 3673; 3690; 5587; 54828	ITGB3; SCARB1; INSL3; PRKD1; BCAS3; ITGA2; FGF7; ANGPT1; GATA3; FGF1	104	104
0.000563372042009	0.037827341742	GO:0045834	b	5	positive regulation of lipid metabolic process	949; 998; 1917; 2246; 4907; 7291; 7410; 8398; 10451; 10558; 26119	TWIST1; VAV3; SCARB1; VAV2; NT5E; LDLRAP1; PLA2G6; SPTLC1; EEF1A2; FGF1; CDC42	130	130
0.000588294583857	0.037827341742	GO:0007346	b	5	regulation of mitotic cell cycle	998; 1845; 2191; 2619; 3306; 3481; 4194; 4303; 4850; 5687; 5695; 5902; 6929; 8729; 10201; 10630; 10769; 11200; 51433; 79648; 55743; 23198; 23331; 56257; 25970	MCPH1; HSPA2; PLK2; FOXO4; MDM4; FAP; PDPN; PSMA6; TTC28; RANBP1; DUSP3; CNOT4; IGF2; TCF3; PSME4; GAS1; SH2B1; CHFR; ANAPC5; NME6; MEPCE; CHEK2; PSMB7; GBF1; CDC42	472	471
