p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000274503133841	0.0257637964384	GO:1990381	m	5	ubiquitin-specific protease binding	267; 5071; 10299; 79139	DERL1; AMFR; MARCH6; PARK2	13	13
0.000500267892008	0.0257637964384	GO:0032550	m	5	purine ribonucleoside binding	21; 353; 379; 391; 481; 525; 790; 990; 1111; 1198; 1607; 1819; 2242; 5874; 2645; 2768; 3611; 3797; 3801; 4143; 4173; 4882; 4919; 5027; 5293; 5585; 5598; 5681; 5832; 5836; 6196; 6301; 6447; 6687; 6897; 7084; 7204; 7443; 7786; 8536; 8558; 8607; 9061; 9201; 9367; 9706; 9778; 10120; 10749; 2049; 79646; 79858; 79861; 79915; 81618; 51128; 54552; 54606; 80117; 22948; 23031; 55915; 23708; 55361; 25788; 26973; 27032; 9785; 60558; 30846; 64901	EHD2; SPG7; DDX56; SCG5; KIAA0232; DCLK1; MAT1A; DHX38; ARL14; PI4K2A; ARL4D; CCT5; MAPK7; CDC6; CAD; PAPSS1; DRG2; PANK3; ATP2C1; RUVBL1; GNL3L; RAD54B; TRIO; CAMK1; CDK10; PIK3CD; KIF3C; LANCL2; P2RX7; DGKB; ATP6V1B1; ALDH18A1; PYGL; CHEK1; ULK2; EPHB3; NPR2; VRK1; PKN1; GCK; ACTR1B; RPS6KA2; ILK; APRT; MCM4; TK2; FES; GSPT2; SAR1B; ATP1B1; RHOG; KIFC3; ROR1; CHORDC1; RAB9A; RAB27B; TUBAL3; KIF1C; ATAD5; RANBP17; GUF1; ITM2C; MAP3K12; MAST3; GNA12; ABCA3; TARS; SARS; NEK11; CLK3; PSKH1	1845	1833
0.000532222237287	0.118306859042	GO:1904029	b	5	regulation of cyclin-dependent protein kinase activity	836; 894; 990; 1027; 1163; 2810; 2965; 5728; 9134	CASP3; CCNE2; CDKN1B; GTF2H1; CCND2; CKS1B; SFN; PTEN; CDC6	89	89
0.000754752783805	0.118306859042	GO:0022408	b	5	negative regulation of cell-cell adhesion	18; 634; 652; 836; 5420; 5598; 5777; 6441; 8379; 114897; 27242	SFTPD; PODXL; BMP4; CASP3; MAD1L1; C1QTNF1; CEACAM1; TNFRSF21; MAPK7; ABAT; PTPN6	133	133
0.000863642885657	0.118306859042	GO:0045786	b	5	negative regulation of cell cycle	652; 836; 990; 1027; 1111; 2296; 2810; 3014; 3611; 4880; 4882; 5728; 5810; 6196; 7508; 7976; 8379; 8555; 8626; 9134; 9555; 10397; 79858; 51053; 9577; 25896	CDKN1B; ILK; H2AFY; RAD1; GMNN; NDRG1; NEK11; CDC6; TP63; FZD3; PTEN; MAD1L1; NPPC; CHEK1; NPR2; INTS7; XPC; RPS6KA2; BMP4; CASP3; H2AFX; CDC14B; SFN; CCNE2; BRE; FOXC1	513	505
0.000904280970111	0.118306859042	GO:0006591	b	5	ornithine metabolic process	5009; 5832; 51582	ALDH18A1; OTC; AZIN1	8	8
0.000964643345232	0.118306859042	GO:0070201	b	5	regulation of establishment of protein localization	18; 307; 391; 406; 652; 952; 1946; 2645; 2695; 2810; 4856; 5027; 5071; 5366; 5598; 6616; 7494; 8536; 8607; 8626; 8720; 10125; 10400; 10434; 10616; 10956; 79778; 22948; 55741; 23086; 56943; 26056; 25999; 26297; 27242; 3170; 64083	CD38; RASGRP1; PMAIP1; LYPLA1; SERGEF; ABAT; CCT5; P2RX7; XBP1; ARNTL; TP63; RUVBL1; CAMK1; GOLPH3; PARK2; CLIP3; MAPK7; ENY2; GCK; OS9; ANXA4; GIP; EFNA5; TNFRSF21; EDEM2; EXPH5; RHOG; SNAP25; BMP4; RAB11FIP5; PEMT; MBTPS1; MICALL2; SFN; FOXA2; RBCK1; NOV	821	821
0.00104696335435	0.118306859042	GO:0030855	b	5	epithelial cell differentiation	307; 406; 631; 634; 652; 726; 836; 1200; 2054; 2810; 4048; 5420; 5493; 5618; 6495; 6496; 6699; 7082; 7494; 8626; 9210; 9555; 79977; 54768; 23086; 23462; 56898; 60485	SAV1; PODXL; BMP15; LTA4H; SPRR1B; PPL; XBP1; ARNTL; TP63; GRHL2; PRLR; SIX1; SIX3; CEACAM1; CAPN5; HYDIN; ANXA4; TPP1; BFSP1; TJP1; EXPH5; BDH2; HEY1; BMP4; CASP3; STX2; H2AFY; SFN	567	567
0.00128985401214	0.124931574318	GO:0051129	b	5	negative regulation of cellular component organization	119; 652; 1111; 1400; 1946; 2072; 4134; 5071; 5728; 5810; 5830; 6196; 8379; 8976; 9138; 9555; 9706; 10434; 10449; 10891; 81618; 84079; 54552; 22871; 6311; 25999; 29767; 64218	ADD2; TMOD2; LYPLA1; ERCC4; WASL; MAP4; SEMA4A; ARHGEF1; GNL3L; MAD1L1; PPARGC1A; PARK2; CLIP3; ACAA2; CRMP1; CHEK1; ULK2; NLGN1; EFNA5; ANKRD27; RAD1; RPS6KA2; BMP4; PEX5; H2AFY; ITM2C; PTEN; ATXN2	577	575
0.00173178855607	0.0594580737584	GO:0030554	m	5	adenyl nucleotide binding	21; 353; 481; 525; 790; 990; 1111; 1198; 1607; 2242; 2645; 3611; 3797; 3801; 4143; 4173; 4882; 4919; 5027; 5293; 5575; 5585; 5598; 5681; 5832; 5836; 6196; 6301; 6687; 6897; 7084; 7204; 7443; 7786; 8536; 8558; 8607; 9061; 9201; 9706; 9778; 10120; 10749; 2049; 79646; 79858; 79915; 81618; 54606; 22948; 23031; 55915; 55361; 25788; 26973; 27032; 9785; 30846; 64208	EHD2; SPG7; DDX56; KIAA0232; DCLK1; ILK; DHX38; PI4K2A; CCT5; MAPK7; P2RX7; CAD; PAPSS1; PANK3; ATP2C1; RUVBL1; CHORDC1; RAD54B; TRIO; CAMK1; CDK10; POPDC3; PIK3CD; KIF3C; LANCL2; CDC6; DGKB; ATP6V1B1; ALDH18A1; PYGL; CHEK1; ULK2; EPHB3; NPR2; VRK1; PKN1; GCK; ACTR1B; ATP1B1; APRT; MCM4; TK2; FES; PRKAR1B; MAT1A; KIFC3; ROR1; RPS6KA2; KIF1C; ATAD5; ITM2C; MAP3K12; MAST3; ABCA3; TARS; SARS; NEK11; CLK3; PSKH1	1538	1531
