p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.20149919127e-05	0.0226754416701	Sema4D mediated inhibition of cell attachment and migration	Reactome	R-HSA-416550	RRAS; RND1; SEMA4D; MET	27289; 10507; 6237; 4233	8	8
0.00011182177997	0.0575882166845	Gastrin-CREB signalling pathway via PKC and MAPK	Reactome	R-HSA-881907	MGLL; FRS2; MAP2K2; DGKQ; DGKB; DGKD; GDNF; ERBB4; SHC3; P2RY6; FGF2; RPS6KA1; NMUR1; ADRA1D; AVP; MET; GNG5; GFRA1; GNG3; GRIN2D; UBC; FGF20; MMP1	4312; 551; 5605; 4233; 1607; 146; 7316; 10316; 26281; 11343; 2906; 8527; 2785; 10818; 2787; 2247; 1609; 2674; 53358; 5031; 6195; 2668; 2066	400	399
0.000505162075852	0.159166535271	Keratan sulfate biosynthesis	Reactome	R-HSA-2022854	B3GNT4; PRELP; CHST5; B4GALT3; B3GNT2	10678; 5549; 23563; 8703; 79369	28	28
0.000716886345585	0.159166535271	Glycosaminoglycan metabolism	Reactome	R-HSA-1630316	B3GNT4; BCAN; B3GNT2; CD44; UST; GPC5; GLCE; PRELP; CHST5; B4GALT3	10090; 23563; 5549; 8703; 79369; 26035; 63827; 10678; 2262; 960	122	121
0.000857181785719	0.159166535271	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	Reactome	R-HSA-112314	RPS6KA1; GRIA2; GABRQ; CHRNB4; RRAS; GNG5; GNG3; GRIN2D; CACNG2; GABRA6; CHRNA9	10369; 2906; 2559; 6195; 2787; 55584; 1143; 55879; 6237; 2785; 2891	147	146
0.00110482224204	0.159166535271	Keratan sulfate/keratin metabolism	Reactome	R-HSA-1638074	B3GNT4; PRELP; CHST5; B4GALT3; B3GNT2	10678; 5549; 23563; 8703; 79369	33	33
0.00119024541753	0.159166535271	Developmental Biology	Reactome	R-HSA-1266738	EFNB2; CAPNS1; FRS2; RRAS; MSN; PKP1; SEMA4D; TCF3; GAP43; MET; KRT33B; KRT86; DCX; SCN11A; THRAP3; SHC3; UBC; SCN9A; FGF2; RPS6KA1; MAP2K2; DKK1; ERBB4; RND1; GFRA1; GDNF; GRIN2D; TCF12; PAK4; CACNG2; ACTR2; FGF20	5605; 4233; 27289; 6335; 6929; 1641; 10097; 4478; 7316; 9967; 2596; 6938; 26281; 22943; 11280; 2906; 3892; 6237; 1948; 10818; 2247; 10507; 10369; 826; 2674; 10298; 53358; 6195; 2668; 5317; 3884; 2066	748	745
0.00165356661901	0.159166535271	Axon guidance	Reactome	R-HSA-422475	EFNB2; SCN9A; RRAS; MSN; SEMA4D; GAP43; MET; DCX; SCN11A; ERBB4; SHC3; FRS2; FGF2; RPS6KA1; MAP2K2; RND1; GFRA1; GDNF; GRIN2D; UBC; PAK4; ACTR2; FGF20	5605; 27289; 6335; 1641; 10097; 7316; 4478; 26281; 11280; 2906; 4233; 6237; 2596; 1948; 10818; 2247; 10507; 2674; 10298; 53358; 6195; 2668; 2066	487	484
0.00211677290684	0.159166535271	Striated Muscle Contraction	Wikipathways	WP383	TNNT1; DES; ACTA1; TNNI3; ACTN4	1674; 81; 7137; 58; 7138	38	38
0.00229851652145	0.159166535271	Protein processing in endoplasmic reticulum - Homo sapiens (human)	KEGG	path:hsa04141	RPN1; HERPUD1; DNAJA1; PDIA6; SSR2; DDIT3; DNAJC10; ATF4; ATF6; DDOST; HSPA1L	6184; 6746; 1649; 1650; 3301; 3305; 22926; 10130; 54431; 468; 9709	166	165
0.00247531951659	0.159166535271	Transmission across Chemical Synapses	Reactome	R-HSA-112315	RPS6KA1; PPFIA2; GRIA2; GABRQ; CHRNB4; RRAS; GNG5; GNG3; GRIN2D; CACNG2; GABRA6; CHRNA9; SLC1A3	2906; 2559; 6195; 2787; 55584; 10369; 55879; 6237; 6507; 8499; 1143; 2785; 2891	218	217
0.00266762893132	0.159166535271	Nicotine addiction - Homo sapiens (human)	KEGG	path:hsa05033	GRIA2; GABRD; GABRA6; GABRQ; GRIN2D	2563; 55879; 2891; 2906; 2559	40	40
0.00383602874924	0.159166535271	3-Phosphoglycerate dehydrogenase deficiency	SMPDB	SMP00721	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Non Ketotic Hyperglycinemia	SMPDB	SMP00223	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Glycine and Serine Metabolism	SMPDB	SMP00004	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Dimethylglycine Dehydrogenase Deficiency	SMPDB	SMP00484	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Hyperglycinemia, non-ketotic	SMPDB	SMP00485	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Dimethylglycine Dehydrogenase Deficiency	SMPDB	SMP00242	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Sarcosinemia	SMPDB	SMP00244	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	SMPDB	SMP00179	SARS; AMT; PHGDH; BHMT	275; 635; 26227; 6301	27	27
0.00383602874924	0.159166535271	Effects of PIP2 hydrolysis	Reactome	R-HSA-114508	DGKB; DGKQ; MGLL; DGKD	8527; 1609; 1607; 11343	27	27
0.00383602874924	0.159166535271	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	KEGG	path:hsa00601	B3GNT4; B4GALT3; B3GNT2; B3GALT2	8707; 79369; 10678; 8703	27	27
0.00383602874924	0.159166535271	Photodynamic therapy-induced unfolded protein response	Wikipathways	WP3613	PDIA6; DDIT3; ATF6; ATF4	10130; 468; 22926; 1649	27	27
0.00383602874924	0.159166535271	Sema4D in semaphorin signaling	Reactome	R-HSA-400685	RRAS; RND1; SEMA4D; MET	27289; 10507; 6237; 4233	27	27
