p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
9.42656419725e-09	5.72192446773e-06	GO:0022008	b	5	neurogenesis	491; 653; 1123; 1641; 1948; 1952; 2066; 2247; 2596; 2668; 2697; 2779; 2780; 3475; 4010; 1233; 4762; 4781; 4852; 5549; 5605; 5653; 5754; 6259; 6376; 6422; 6507; 22933; 22943; 6604; 6794; 6929; 6938; 7060; 7143; 7287; 7436; 7855; 8941; 9510; 9706; 10090; 10298; 10397; 10500; 10507; 10512; 10677; 10678; 10818; 50674; 79600; 55079; 22871; 55754; 55755; 56920; 26281; 26227; 27289; 27429; 5629; 261734	EFNB2; TULP1; RYK; PTK7; STK11; FRS2; MAP2K2; CHN1; UST; CCR4; NPHP4; GNAT1; NDRG1; GNAT2; SEMA4D; SEMA6C; HTRA2; VLDLR; ADAMTS1; TCF3; GAP43; THBS4; TNR; FGF2; PROX1; DCX; CDK5R2; CX3CL1; FEZF2; PRELP; SEMA3C; ULK2; SIRT2; TCTN1; ERBB4; NFIB; CDK5RAP2; CELSR2; LMX1B; NEUROG3; SMARCD3; IFRD1; KLK6; ATP2B2; NEUROG1; FZD5; GJA1; BMP5; SFRP1; B3GNT2; SEMA3G; TMEM30A; PHGDH; DKK1; RND1; NLGN1; NPY; GDNF; TCF12; PAK4; AVIL; FGF20; SLC1A3	1433	1430
5.48320819542e-08	1.66415368731e-05	GO:0030182	b	5	neuron differentiation	491; 653; 1123; 1641; 1948; 1952; 2066; 2596; 2668; 2697; 2779; 2780; 3475; 4010; 4762; 4781; 4852; 5549; 5605; 5653; 5754; 6259; 6422; 6507; 22943; 6794; 6929; 6938; 7060; 7143; 7287; 7436; 7855; 9510; 9706; 10090; 10298; 10500; 10507; 10512; 10677; 10678; 50674; 79600; 55079; 22871; 55754; 55755; 56920; 26281; 26227; 27289; 27429; 5629; 261734	EFNB2; TULP1; RYK; PTK7; STK11; MAP2K2; CHN1; UST; NPHP4; GNAT1; GNAT2; SEMA4D; SEMA6C; HTRA2; VLDLR; ADAMTS1; TCF3; GAP43; THBS4; TNR; PROX1; DCX; FEZF2; NEUROG3; NEUROG1; SEMA3C; ULK2; TCTN1; ERBB4; NFIB; CDK5RAP2; CELSR2; LMX1B; TMEM30A; IFRD1; KLK6; ATP2B2; PRELP; FZD5; GJA1; BMP5; SFRP1; B3GNT2; SEMA3G; PHGDH; DKK1; RND1; NLGN1; NPY; GDNF; TCF12; PAK4; AVIL; FGF20; SLC1A3	1231	1228
4.49374254493e-06	0.000909233908257	GO:0010604	b	5	positive regulation of macromolecule metabolic process	58; 551; 653; 944; 960; 975; 1116; 1230; 1265; 23142; 1649; 1815; 2034; 2066; 2247; 2668; 2697; 2785; 468; 3275; 3299; 3315; 4010; 4192; 4233; 4478; 4582; 4762; 4781; 4808; 4990; 5562; 5575; 5605; 5714; 6176; 6195; 6259; 6376; 6419; 6422; 22933; 6595; 6604; 6622; 6794; 6829; 6899; 6929; 6938; 7029; 7060; 7096; 7132; 7316; 7436; 7786; 7855; 8368; 8484; 8491; 8717; 8941; 8968; 8995; 9457; 9709; 9966; 9967; 10507; 10818; 11168; 7545; 50674; 112464; 51160; 54454; 54623; 54959; 55079; 55294; 22926; 55755; 23168; 26281; 26993; 27429; 4807; 5629; 30009; 64127	HSF4; TBX21; STK11; HIST1H4L; CHI3L1; SEMA4D; RYK; SUPT5H; SIX6; DDIT3; ERBB4; PRMT2; MUC1; ZIC1; NEUROG3; SMARCD3; BMP5; ODAM; CNN2; GALR3; TLR1; GNG3; UBC; GJA1; ACTA1; VLDLR; TNFSF15; TNFSF18; FRS2; THBS4; CDK5R2; CX3CL1; NEUROG1; SIRT2; TCF3; TCF12; LMX1B; DCUN1D4; FGF2; EPAS1; PSIP1; TNFRSF1A; AVP; SNCA; TFDP2; FGF20; RPLP1; CCR1; TBX1; NHLH2; NHLH1; HTRA2; MDK; FZD5; CD81; TRADD; AKAP8L; TNFSF8; FHL5; FBXW7; THRAP3; RPS6KA1; PAF1; PRKAR1B; PROX1; SFRP1; MAP2K2; MET; CDK5RAP2; ATAD2B; MAP4K3; PSMD8; PRKAA1; MSN; PRKCDBP; SMARCA2; HERPUD1; SETMAR; FEZF2; VPS28; NOD2; HSPB1; CD44; HIST1H3F; RTF1; NFIB; DRD4; MAP3K12; GDNF; ATF4; ATF6	2795	2783
6.78034601245e-06	0.00102891750739	GO:0060284	b	5	regulation of cell development	81; 653; 1123; 2066; 2247; 3475; 4762; 5605; 5653; 5754; 6259; 6376; 6422; 22933; 22943; 6604; 6794; 6929; 6938; 7132; 7143; 7436; 9510; 9706; 10090; 10500; 10507; 10512; 10677; 50674; 55079; 22871; 55754; 55755; 56920; 5629	VLDLR; PTK7; STK11; MAP2K2; CHN1; UST; SEMA4D; SEMA6C; RYK; ADAMTS1; TCF3; FEZF2; AVIL; NLGN1; PROX1; CX3CL1; NEUROG1; ULK2; SIRT2; ERBB4; TNR; SEMA3C; TMEM30A; NEUROG3; SMARCD3; IFRD1; KLK6; FGF2; BMP5; SFRP1; SEMA3G; ACTN4; TNFRSF1A; DKK1; TCF12; CDK5RAP2	782	780
1.13411786785e-05	0.00128419854667	GO:0051960	b	5	regulation of nervous system development	653; 1123; 2066; 2247; 3475; 4762; 5605; 5653; 5754; 6259; 6376; 6422; 22933; 22943; 6604; 6794; 6929; 6938; 7143; 7436; 9510; 9706; 10090; 10500; 10507; 10512; 10677; 50674; 347902; 55079; 22871; 55754; 55755; 56920; 5629	VLDLR; PTK7; STK11; MAP2K2; CHN1; UST; SEMA4D; SEMA6C; RYK; ADAMTS1; TCF3; FEZF2; AVIL; NLGN1; PROX1; CX3CL1; NEUROG1; ULK2; SIRT2; ERBB4; TNR; SEMA3C; TMEM30A; NEUROG3; SMARCD3; IFRD1; KLK6; FGF2; BMP5; SFRP1; SEMA3G; DKK1; TCF12; CDK5RAP2; AMIGO2	767	766
1.41365714574e-05	0.00128419854667	GO:0048640	b	5	negative regulation of developmental growth	2697; 3475; 6259; 6422; 7143; 9706; 10500; 10507; 10512; 56920	ULK2; GJA1; SEMA3C; SFRP1; RYK; SEMA3G; TNR; IFRD1; SEMA4D; SEMA6C	88	88
1.48095384295e-05	0.00128419854667	GO:0030308	b	5	negative regulation of cell growth	2697; 3475; 4856; 6259; 6422; 6595; 6794; 7143; 9706; 10500; 10507; 10512; 23677; 56920	ULK2; GJA1; SEMA3C; SFRP1; RYK; SEMA3G; TNR; STK11; SEMA6C; SH3BP4; IFRD1; NOV; SEMA4D; SMARCA2	172	172
2.79554829928e-05	0.00212112227208	GO:0000904	b	5	cell morphogenesis involved in differentiation	81; 491; 1123; 1641; 1948; 1952; 2596; 3475; 4233; 4781; 5549; 5605; 6259; 6507; 22943; 6794; 7143; 7436; 9706; 10090; 10500; 10507; 10512; 10678; 50674; 79600; 55079; 22871; 56920; 5629	EFNB2; RYK; STK11; MAP2K2; CHN1; UST; SEMA4D; SEMA6C; VLDLR; GAP43; TCTN1; DCX; FEZF2; NEUROG3; PRELP; ULK2; TNR; CELSR2; IFRD1; ATP2B2; PROX1; NFIB; SEMA3C; B3GNT2; SEMA3G; ACTN4; DKK1; MET; NLGN1; SLC1A3	638	637
3.94583410849e-05	0.00266124589317	GO:0031325	b	5	positive regulation of cellular metabolic process	19; 551; 653; 944; 960; 975; 1116; 1230; 23142; 1649; 1815; 2034; 2066; 2247; 2668; 2692; 2785; 468; 3275; 3299; 3315; 4010; 4192; 4233; 4478; 4582; 4762; 4781; 4808; 4990; 5562; 5575; 5605; 5714; 6176; 6195; 6259; 6376; 6419; 6422; 22933; 6595; 6604; 6622; 6794; 6829; 6899; 6929; 6938; 7029; 7060; 7096; 7132; 7316; 7436; 7786; 7855; 8484; 8491; 8717; 8941; 8995; 9457; 9709; 9966; 9967; 10507; 10818; 11168; 7545; 50674; 112464; 54454; 54623; 54959; 55079; 55294; 22926; 55755; 23168; 26281; 26993; 27429; 4807; 5629; 30009; 64127	HSF4; TBX21; STK11; CHI3L1; SEMA4D; RYK; SUPT5H; SIX6; DDIT3; ERBB4; PRMT2; MUC1; ZIC1; NEUROG3; SMARCD3; BMP5; ODAM; GALR3; TLR1; GNG3; UBC; GHRHR; VLDLR; TNFSF15; TNFSF18; FRS2; THBS4; CDK5R2; CX3CL1; NEUROG1; SIRT2; TCF3; TCF12; LMX1B; DCUN1D4; FGF2; EPAS1; PSIP1; TNFRSF1A; AVP; SNCA; TFDP2; FGF20; RPLP1; CCR1; TBX1; NHLH2; NHLH1; HTRA2; MDK; FZD5; CD81; TRADD; AKAP8L; TNFSF8; FHL5; FBXW7; THRAP3; RPS6KA1; PAF1; PRKAR1B; PROX1; SFRP1; MAP2K2; MET; ABCA1; CDK5RAP2; ATAD2B; MAP4K3; PSMD8; PRKAA1; MSN; PRKCDBP; SMARCA2; HERPUD1; SETMAR; FEZF2; NOD2; HSPB1; CD44; RTF1; NFIB; DRD4; MAP3K12; GDNF; ATF4; ATF6	2789	2776
5.25055949277e-05	0.00318708961211	GO:0060548	b	5	negative regulation of cell death	16; 551; 653; 960; 1508; 2066; 2247; 2668; 468; 3301; 3315; 4192; 4233; 4582; 4671; 4856; 5562; 6195; 6376; 6422; 22933; 6622; 6899; 7316; 7786; 8717; 8995; 8996; 9709; 10507; 57099; 347902; 23400; 23408; 23532; 27429; 64127	TNFSF18; PRKAA1; TBX1; SEMA4D; HTRA2; MDK; HERPUD1; AVEN; SIRT5; PRAME; ATP13A2; TRADD; NOD2; CX3CL1; MUC1; SIRT2; ERBB4; HSPB1; CD44; CTSB; UBC; NAIP; SFRP1; FGF2; NOL3; RPS6KA1; BMP5; DNAJA1; AARS; AVP; MET; MAP3K12; GDNF; SNCA; ATF4; NOV; AMIGO2	895	893
