"","logFC","logCPM","PValue","FDR"
"DPEP3|64180",6.58715955259673,2.58967456366249,8.19364920170196e-07,0.00774209850716528
"NPY1R|4886",5.94003376249898,4.07879190739822,9.44446295476093e-07,0.00774209850716528
"CHGA|1113",-5.41616266988243,3.32812315040007,1.85799172084162e-06,0.0082907859677387
"NTS|4922",-5.93911454593093,4.42210949816439,2.45562478399449e-06,0.0082907859677387
"CDHR5|53841",2.92047427743123,0.160947574788556,2.52844951745615e-06,0.0082907859677387
"NAT10|55226",0.786000575217283,6.52351300547017,3.84007902747279e-06,0.0104930159425694
"GRP|2922",-3.62030739676666,-1.28741360496474,5.80681481941426e-06,0.0122070171878003
"NOX4|50507",-2.42618268870445,1.85218088286241,5.95645852408675e-06,0.0122070171878003
"PTPRN|5798",-3.58019212025969,1.28518001884762,9.49035248297449e-06,0.0149869141455817
"VNN1|8876",2.70219370531855,3.95671386356576,9.52749139081411e-06,0.0149869141455817
"L1TD1|54596",4.49377758282878,-0.385068001129952,1.00552641415919e-05,0.0149869141455817
"SCIN|85477",2.74700612954739,4.05002431764398,1.51754436949296e-05,0.0193097596067533
"GRIA4|2893",-5.9539400309728,1.35623515866545,1.53111848055988e-05,0.0193097596067533
"DKK2|27123",-2.49313747882079,2.07525194971472,1.67017237794508e-05,0.0195589115260069
"PYGM|5837",2.98688752017202,2.06255090357259,1.97103533111436e-05,0.0215253423724841
"GSDMB|55876",-2.82710363103042,4.44011223359207,2.20599389102467e-05,0.0215253423724841
"GRID2IP|392862",3.03077940688572,2.55438379280124,2.23196596725972e-05,0.0215253423724841
"EN2|2020",4.45835266161648,1.2971416345642,2.3705582623484e-05,0.0215918348395567
"IRX1|79192",-4.58881309899805,-0.490766246724537,2.91370679979032e-05,0.0234651742981177
"PNMT|5409",-4.5379420334649,3.1971148755637,2.932981131762e-05,0.0234651742981177
"NT5E|4907",-2.12559248803185,4.87858103987259,3.00560329527583e-05,0.0234651742981177
"LY6D|8581",-3.38170280453588,-0.662823317726504,3.81371864181004e-05,0.0284208714238525
"XKR9|389668",-2.10420404740748,1.01490743307611,4.28547801439301e-05,0.0305480052373797
"ADAM6|8755",3.10837363121993,7.74911741337468,4.93046002960365e-05,0.0334379076734474
"CHGB|1114",-4.53292457659743,3.55973141006846,5.09879653452995e-05,0.0334379076734474
"VGF|7425",-3.70770676178967,1.58567658366857,5.36593582870258e-05,0.0338363530429149
"ORMDL3|94103",-2.48833919867676,6.57079815214022,5.99192765519036e-05,0.0358955874204199
"TCAP|8557",-3.56076537183163,1.13173832407131,6.13038394493296e-05,0.0358955874204199
"HIF3A|64344",-2.32100448767259,4.66803539864521,6.77295665454953e-05,0.0382905601211515
"LHFPL4|375323",-5.11601500659545,0.845436609407007,7.01756539819875e-05,0.0383509949011562
"LRRTM4|80059",-3.56393683265528,-1.60001241453603,7.45234195639276e-05,0.0394132730242127
"DHX40P1|653645",-4.48137691009378,-1.51551689980299,8.45400534329015e-05,0.0397979849788154
"MMP10|4319",-3.73734236057254,1.10182769822907,8.49791306363861e-05,0.0397979849788154
"EPHA3|2042",2.41260245717121,1.58013926128858,8.55866905576649e-05,0.0397979849788154
"LOC96610|96610",2.69956695830696,8.24779948462605,8.64693023924978e-05,0.0397979849788154
"CORIN|10699",-2.49495992315794,-0.228206420786999,9.20624571310092e-05,0.0397979849788154
"ACADL|33",3.38204638013593,-0.784497145075583,9.25020507714303e-05,0.0397979849788154
"AKR1C4|1109",5.87419974255772,-1.3900313361227,9.39515525029509e-05,0.0397979849788154
"MEGF10|84466",-2.66900094535046,0.145158507316604,9.46704125754073e-05,0.0397979849788154
"SLC6A15|55117",4.34357070190517,0.446584604190645,9.91295950579318e-05,0.0399246488846517
"LRDD|55367",0.782082555884459,4.42434503800254,9.98420618646367e-05,0.0399246488846517
"CACNA2D1|781",2.39670802473817,-0.146124492957926,0.000102581743645106,0.0400435163586074
"TMED9|54732",-0.609282316057755,7.27281026143055,0.00012236772151128,0.0466562510273823
"STARD3|10948",-2.38671361962036,6.47180235555194,0.000128477072777949,0.046890024194995
"RRM1|6240",0.835935382323819,5.726925858936,0.000132677087216603,0.046890024194995
"MMP11|4320",-2.37483390279824,6.92988669943424,0.000135023606460817,0.046890024194995
"QSER1|79832",0.813701941746451,5.9830295777251,0.000135189102417137,0.046890024194995
"ATP5L|10632",-0.718670873001383,7.57779887525137,0.000137280949152776,0.046890024194995
"IL12RB2|3595",2.25788532486986,0.866860020626622,0.000141225604569264,0.046899862967016
"HNF1A|6927",2.32019215713479,1.31508484421609,0.000143030994104959,0.046899862967016
"ANO3|63982",3.62119531893484,1.80681337942107,0.000148916976855866,0.047872428148077
"CAPRIN1|4076",0.663421012076135,8.60052529324669,0.000163463376598411,0.0515381165255952
"CDK5R2|8941",-2.6854421835341,-0.231430760835399,0.000182389055283022,0.0561861746862514
"UPK2|7379",-2.04870855960368,0.54562712262465,0.000185123156518942,0.0561861746862514
"PTPRZ1|5803",3.23053416565743,-1.49759028342271,0.000188486709834939,0.0561861746862514
"BAIAP2L2|80115",2.48389322284367,2.81904256151763,0.000196539131463475,0.0575403403632798
"LRRC31|79782",8.0131610064236,2.49115848829263,0.00020692033443431,0.0595168225096582
"SYT9|143425",3.36298994086909,-1.36332861134683,0.000219371466186532,0.0620102618642792
"PAX1|5075",-7.05080638711699,-0.121823384862994,0.00023014456693051,0.0639528843190798
"AK5|26289",-2.01071510591897,-0.151096998582718,0.000257042638712012,0.0702369010280572
"USH1C|10083",4.33122354511945,2.20187141968053,0.000264204549479443,0.0710103867002535
"SLC12A1|6557",-3.94435629791909,2.451756156525,0.000278736102133976,0.0729505572576671
"FAM19A3|284467",2.55104985197056,0.738658190544298,0.000280322360916928,0.0729505572576671
"PGAP3|93210",-2.25651758394596,6.62944306188596,0.000293779650888458,0.0752580840049418
"ABCA12|26154",3.03935800418857,0.395186019172356,0.000298914920226799,0.0753955402633596
"JPH3|57338",-3.29917209570589,3.14297194904342,0.000318333096374883,0.0789264665902567
"ERBB2|2064",-2.19664788553385,9.50808217242763,0.000326212199279045,0.0789264665902567
"psiTPTE22|387590",-3.04243773850223,1.11851673058264,0.000328736838660201,0.0789264665902567
"CARS|833",0.75142325285446,5.50217524235793,0.000335553795247759,0.0789264665902567
"THBD|7056",1.32142057370722,3.9372140385086,0.000336983998860504,0.0789264665902567
"NKAIN1|79570",-2.56182469151672,0.76749674846895,0.000353545045170198,0.0809804551114169
"TMEM151A|256472",-3.48809495227259,2.09658707890325,0.000359816317001348,0.0809804551114169
"MNX1|3110",3.89240940731573,0.405563790557896,0.000360571712298471,0.0809804551114169
"ITIH2|3698",-3.56275370015054,1.08047987556747,0.000370050213124045,0.0819861249211989
"TNFSF8|944",1.89521686670628,1.51461437751274,0.000386279402929886,0.0844406774804731
"PAX2|5076",4.43622932181093,4.80935368229639,0.000397313502736636,0.0857099325969362
"C14orf105|55195",5.18973085023909,-0.208131679583138,0.000406756065904867,0.0857638378841366
"DISP2|85455",-1.72539961715905,1.24835222676093,0.000408689266716327,0.0857638378841366
"RPAP2|79871",0.974536921987139,4.14202875131374,0.000413256675379493,0.0857638378841366
"UNC13A|23025",-2.55989288705845,2.76963904269659,0.000425674817389847,0.0862422948080817
"HOXC6|3223",-2.47823233240136,3.88936257041976,0.000426082700790157,0.0862422948080817
"IGF2BP3|10643",-2.1992244534777,3.6947394162974,0.000432629048098089,0.0864994297996118
"HTR1F|3355",-2.53010020086664,0.039291167658581,0.000448052129876335,0.0885037911966567
"SYP|6855",-2.15473364239352,2.27980868820068,0.000457447833868404,0.0892840147175296
"CTNNA2|1496",-1.91575967484799,2.45393211959949,0.00046366512258944,0.0894328198218103
"REG4|83998",4.54336063249476,0.865699332847241,0.000472725348089033,0.0901201404874383
"TNFRSF17|608",2.62865598267266,-1.49914269334598,0.000516923018176334,0.0974132515287471
"NUP98|4928",0.583954743944056,6.89746837254866,0.000530468780822297,0.0988299506997905
"FOXS1|2307",-1.64189081065858,2.03105425424713,0.000583398147738206,0.105778537490102
"SOX21|11166",-4.3242825755006,-1.03509557833182,0.000593338057792507,0.105778537490102
"MYOD1|4654",-3.69761331159141,-0.486501721112869,0.000594831164040812,0.105778537490102
"GPRASP2|114928",0.958619844886106,2.86849048377362,0.000596835411808826,0.105778537490102
"FAM180B|399888",2.84425541486638,-0.508153201180777,0.000600024640840467,0.105778537490102
"SCG3|29106",-3.86085215123403,0.581738228708094,0.000613129847960866,0.105961105608779
"SPDYC|387778",3.23310184052748,-1.23212277474298,0.000619996153383672,0.105961105608779
"ATP6V1C2|245973",1.23787171865029,4.60997548039044,0.000620650985922323,0.105961105608779
"SERPINA3|12",2.4515704970687,6.73746357641351,0.00062691230521815,0.105961105608779
"FASN|2194",0.946360017588508,8.56356547269736,0.000654271859230819,0.109457011551931
"TNNC1|7134",-2.07113896628735,2.93285902546326,0.000671868869419689,0.111265556708442
"SLC25A22|79751",0.760670032857022,5.80732442382027,0.000702596977065211,0.114471634433954
"PTGER3|5733",-2.57653202607304,2.97862115642483,0.00070519274643668,0.114471634433954
"IGJ|3512",2.42783727896595,4.53477270285649,0.000727534148136927,0.116801873476684
"PKP3|11187",0.717524523019459,7.1932398469986,0.000733796460390266,0.116801873476684
"CHI3L2|1117",3.0980409624146,2.90344937076626,0.000779135066602359,0.122826148239862
"LOC650368|650368",2.03768567205744,1.36734374047967,0.00079195649117789,0.122886250195918
"ATP5E|514",-0.702834822319497,7.18887500896914,0.000801897933852866,0.122886250195918
"LRRC55|219527",1.89287038710944,3.99271920489857,0.000806306814417591,0.122886250195918
"ZPBP2|124626",-8.01446163843586,-0.0541098712515897,0.000817806432900401,0.122886250195918
"IGFL2|147920",-2.52641901170504,-0.148674186091516,0.000824035249488857,0.122886250195918
"CPLX2|10814",-3.6431749256167,4.17663639174265,0.000832537610402072,0.122886250195918
"HORMAD1|84072",3.68916653065338,-1.37459387586277,0.000841624990645725,0.122886250195918
"EBF3|253738",2.09831733477985,2.28953655358901,0.000844978004417719,0.122886250195918
"PHRF1|57661",0.51262962493946,6.11918078346118,0.000851396419692172,0.122886250195918
"FCRL5|83416",3.10395203480952,-0.689080790169189,0.000855716166955347,0.122886250195918
"LOC389458|389458",-2.23149872924492,-0.315668387624037,0.000861965158434314,0.122886250195918
"SLURP1|57152",-3.16259207961243,0.163269226800474,0.00088477850865364,0.124136959740644
"PGAM2|5224",-1.79231431384636,2.43217107094482,0.000894618049721892,0.124136959740644
"MARCH4|57574",-2.91130132274856,0.375843731439854,0.000901460559761186,0.124136959740644
"PCDH15|65217",-4.20072045545126,-0.658104077288568,0.000906064065171761,0.124136959740644
"MYT1|4661",-2.62151556654096,1.25342901059062,0.000908596228659795,0.124136959740644
"MYOC|4653",-3.94393545003589,2.47853529841573,0.000918860169043224,0.12450175596251
"GPC3|2719",1.81312743965754,3.3907747274046,0.000927722320066074,0.124672192110519
"CHRNB2|1141",-2.79752812280725,1.71149317379394,0.000952183663041811,0.126859409658033
"SCEL|8796",-1.73578014693232,2.97961603813148,0.000959473424678021,0.126859409658033
"TKT|7086",0.814644962119521,8.61801137204171,0.000986128414040967,0.129064757911601
"PVALB|5816",-3.48762788048943,0.926096249060816,0.000991897499046159,0.129064757911601
"KCNS1|3787",-1.84912877350782,2.44196652378829,0.00100167566006448,0.12931080666738
"PSMD3|5709",-1.8658356365119,7.99114919013728,0.00102777305967736,0.131308125217839
"SLC38A4|55089",-2.5318296485597,1.34229978296078,0.0010368008755712,0.131308125217839
"TCP11L1|55346",0.892456585416492,2.77348749175165,0.00104117452139793,0.131308125217839
"IRF4|3662",1.76947270103347,0.211456386591908,0.0010510445682161,0.131541035846587
"CSAG1|158511",-4.3458744580492,-0.494746303346863,0.00108140582585406,0.134315519052101
"PRSS33|260429",2.85327174216244,5.18998220024426,0.00110718504256912,0.135502388706126
"SLC7A3|84889",3.32889874888123,1.55045673306566,0.00110947465038262,0.135502388706126
"RASGEF1C|255426",-1.64508279650397,0.386458663230304,0.0011157561741584,0.135502388706126
"ATP5EP2|432369",-1.44182883964423,1.126644005758,0.0011555553630085,0.138383865009389
"FAM133A|286499",2.19718888203483,-0.841461779047131,0.00115636410529346,0.138383865009389
"TPSD1|23430",3.46556154758413,-1.26044004643452,0.00118513776555552,0.139982851376178
"C1QTNF3|114899",-1.36431122018443,3.51925814743245,0.00118680185064281,0.139982851376178
"COL21A1|81578",2.32901836324423,0.468969661809462,0.00127535391274492,0.149183089145756
"MMP13|4322",-4.37413421826744,1.22365868260888,0.00128300186456552,0.149183089145756
"STC1|6781",1.53946589114596,4.95260651060572,0.00131178894122541,0.150128902734114
"DMBX1|127343",-2.56912188138926,0.672436725068205,0.0013136341412838,0.150128902734114
"FLT4|2324",-1.1721874674279,3.88678302814854,0.00131860701395013,0.150128902734114
"UCN|7349",1.38866276804244,-1.03328282497865,0.00133709064200583,0.15109532065873
"GRID1|2894",-1.8844386666067,1.36809583814369,0.00134565486088048,0.15109532065873
"SRCRB4D|136853",-1.33700557763295,3.17255437520687,0.00136209356438294,0.15109532065873
"PRG4|10216",-2.06092769720664,0.662774748703464,0.00138800150371095,0.15109532065873
"EMID2|136227",-1.81062137452225,2.84220489693021,0.00139021296932411,0.15109532065873
"SSRP1|6749",0.445550884244425,7.52652442179814,0.00139460179193491,0.15109532065873
"PAX6|5080",1.34761755241871,1.56502078582619,0.00139914945406611,0.15109532065873
"SPINLW1|57119",-1.68805809787922,0.140326910760018,0.00140082273498792,0.15109532065873
"SNRPB2|6629",-0.531497696880121,5.98985193097829,0.00142467969785584,0.151797349681035
"FOLR1|2348",-0.986441623466742,8.99809241845488,0.00142584884726316,0.151797349681035
"TRHDE|29953",-3.27943045606176,0.976536099899341,0.00146669555961302,0.155138539999067
"ELFN2|114794",-2.01417549151604,0.243251988747759,0.00149048970872483,0.156644735734254
"RASGRP2|10235",1.54187301462817,1.03973161484298,0.00153999345238501,0.158931339480496
"DENND5A|23258",0.674427087883681,5.80948754157635,0.00155714943316484,0.158931339480496
"ZNF559|84527",-0.676764688448989,4.08978696730239,0.00155842020174597,0.158931339480496
"NDUFS8|4728",-0.684029850755772,7.72017604122162,0.00155851496575143,0.158931339480496
"LYNX1|66004",-2.16768045503604,6.28841708387223,0.0015650475073376,0.158931339480496
"RUNDC3A|10900",-2.36052933066005,2.46141351838814,0.0015745601516934,0.158931339480496
"MUM1|84939",0.671989781269633,4.99440101543601,0.00158010419855571,0.158931339480496
"NDUFA3|4696",-0.749820853034,6.15141565169032,0.00159738800954151,0.159690100100202
"EYA1|2138",3.08159087099798,1.26687536031502,0.00161018755982738,0.159994091171939
