"","logFC","logCPM","PValue","FDR"
"H2AFB1|474382",4.51809594101412,1.48115789122456,4.07502815874964e-11,6.82078213211515e-07
"F10|2159",3.49947803943853,2.04066347791398,9.38495883216827e-10,7.85427204664162e-06
"LCN1|3933",6.31359144396405,1.88507511720604,3.42832436538868e-08,0.000191277644092919
"FLJ43860|389690",3.79008696474016,-1.78708821122514,1.89560651453902e-07,0.000647363732843956
"GLRA2|2742",6.00510442479569,0.969877224149799,1.93381447258919e-07,0.000647363732843956
"FLG|2312",3.89045073583464,1.88290950320804,2.91228361153512e-07,0.000812430051497913
"PYY|5697",5.26987552431766,2.15352722400453,3.80662073772343e-07,0.000910217398685926
"SPDYC|387778",3.51405644201484,-1.56588635200106,4.43779339556273e-07,0.000928497323186613
"CLEC18A|348174",2.916193690766,3.17674592096548,9.29126839470451e-07,0.00172796944878405
"SEZ6L|23544",4.37029354094349,0.219034907788846,1.07791489251221e-06,0.00180421394708694
"POU4F1|5457",3.12928996800511,-0.921814310880782,1.77183832202153e-06,0.0026960936212724
"FMO3|2328",3.29061494094816,2.65958713257942,2.53008998843755e-06,0.00334455181392396
"ATP8B3|148229",1.94485686026205,1.33522659556786,2.59763254755715e-06,0.00334455181392396
"SYNPO2|171024",1.42714365350163,3.75322071570595,3.1299671801951e-06,0.0035645794519871
"SNORA53|677832",2.45275639741309,-1.1464575349071,3.35969491696598e-06,0.0035645794519871
"GDF5|8200",-2.97090652505157,1.84881759459748,3.40741254820131e-06,0.0035645794519871
"NGB|58157",4.74780932931914,0.879743852251193,4.58513834542944e-06,0.00445084992025284
"CXCL5|6374",2.42904745192619,2.20543654782954,4.84362692449807e-06,0.00445084992025284
"RRAD|6236",-2.6222865350917,3.29207198745881,5.05234487303166e-06,0.00445084992025284
"DUSP27|92235",3.28021231428935,0.734298099405146,8.52354581084524e-06,0.00713335548909638
"PTPRT|11122",-5.63124387943275,3.27020073093073,9.50107809257018e-06,0.00729439890809754
"LTF|4057",3.58795194044972,6.74295673271808,9.58757175159194e-06,0.00729439890809754
"PROK1|84432",2.60489534979908,-0.482007157380822,1.43423926217766e-05,0.0100323588868698
"CHGA|1113",-4.18487561656032,3.99259693816992,1.43850288735138e-05,0.0100323588868698
"MYH3|4621",2.33362412697502,1.18831045726794,1.69024361623526e-05,0.0113165190594183
