"","logFC","logCPM","PValue","FDR"
"C10orf99|387695",7.48849573306967,5.07126241705109,3.16350467781722e-12,5.20586329781602e-08
"GPX2|2877",4.1326364177619,-1.21510779116422,1.19805597227755e-09,9.85760453989967e-06
"CXorf49B|100132994",5.32067711870358,2.90179602738171,2.55122962188062e-09,1.39943448858891e-05
"HABP2|3026",4.63229925665362,0.210625481471688,9.95117039243463e-09,4.09391149944761e-05
"FAIM2|23017",2.82439310800379,2.7354590782968,1.25381654980808e-08,4.12656102872835e-05
"COL17A1|1308",3.57387642725199,0.736974894131153,1.72245869494288e-08,4.72413004733e-05
"SLC3A1|6519",3.24432104156927,0.957558187822008,2.38298315443434e-08,5.60205296991022e-05
"HEY1|23462",2.35280195266327,3.10840534001905,1.07324280680804e-07,0.000220766045360414
"PI15|51050",2.92994491691081,3.78354168386849,2.41451592092723e-07,0.000441480822164206
"KIAA1324|57535",3.1227827709176,4.15757520771786,2.90660113062022e-07,0.000478310282054864
"IGSF1|3547",3.10651948609382,2.72140637448913,4.57910474145126e-07,0.000685034069321109
"AMY1A|276",4.96438336608095,6.11886675658939,5.77157488620847e-07,0.000791475302728722
"NRG2|9542",2.56225269349015,1.75552404603094,9.24678447817057e-07,0.00104908083537097
"NTS|4922",3.25259043787004,1.91179632177881,9.47318255648267e-07,0.00104908083537097
"CLCA2|9635",4.64148229874504,0.770222382515208,9.68258438085263e-07,0.00104908083537097
"TACR1|6869",2.41803762218986,2.3774482439785,1.02001053512005e-06,0.00104908083537097
"KIAA2022|340533",2.37637530282522,0.602653502816135,1.21087444982582e-06,0.0011721264674314
"GAS2|2620",3.46201028466904,0.792813419584863,1.37698422425089e-06,0.00125886957745959
"SHH|6469",3.94953058845014,-1.58529687481326,1.61645013246694e-06,0.00140001596736189
"PCSK9|255738",2.904310779578,1.38164453754906,3.25548031787656e-06,0.00267860920554883
"MAGEB2|4113",6.03513142381186,-1.18214124815982,3.57956795994778e-06,0.00280501763566193
"NPTX2|4885",2.4281783773996,5.19754032960192,4.16238123838176e-06,0.00307748445596942
"HMGB3|3149",0.892650648668792,5.82886682448247,4.30129694259217e-06,0.00307748445596942
"DGKK|139189",4.09464979404497,-1.54067693334929,5.76396801865124e-06,0.00395216073812187
"SDF2L1|23753",1.08251228802945,4.59463236877171,7.47531060314717e-06,0.00482691706022648
"PIGR|5284",3.41719530287324,2.5920559745993,7.6263881602995e-06,0.00482691706022648
"HGF|3082",2.5655716265785,2.01147558117431,8.03131398401325e-06,0.00489493714521934
"PHEX|5251",2.47453277355175,-0.639006424551124,8.70857446117986e-06,0.00511815361904199
"SOX2|6657",4.27410043881518,3.29200269902704,9.28985836439786e-06,0.00527151411188039
"DSG3|1830",4.05921832551101,0.569550320816908,9.79083987327662e-06,0.00537060203182134
"FZD2|2535",1.27640536008104,5.2403006204587,1.02610139541363e-05,0.00544694340739572
"C12orf34|84915",1.55375739802116,3.47484503698394,1.13877071055116e-05,0.00547013147870491
"NKX2-1|7080",5.99400352029042,-1.68614055092887,1.14343281021549e-05,0.00547013147870491
"FOXD2|2306",2.43705964534793,0.674014057255895,1.15199874036412e-05,0.00547013147870491
"EPHX1|2052",0.997786602618499,7.79159951447654,1.1881763398578e-05,0.00547013147870491
