"","logFC","logCPM","PValue","FDR"
"NR5A2|2494",3.90195033115118,2.72144163027957,2.03339586474548e-13,3.44538595322473e-09
"EN2|2020",5.22674209684449,1.39221639429593,7.79952032341139e-10,6.60775361799413e-06
"PCSK1|5122",5.20504256918935,1.11038934801564,2.24323504575878e-09,1.26697915384456e-05
"C16orf89|146556",3.75115224107505,2.34355216419205,2.71782169665103e-08,0.00010530623415994
"ERBB2|2064",2.36643981864011,9.10712607652893,3.28924010765488e-08,0.00010530623415994
"KL|9365",2.71127943801901,0.608735285050528,3.72897429744829e-08,0.00010530623415994
"SEZ6|124925",4.39005620208463,2.27270758393352,5.16944986210836e-08,0.00012513022637652
"SRP14|6727",1.98907823364554,8.90681100776261,6.43587487344144e-08,0.00013631182981949
"GRB7|2886",2.66490119477638,8.19142291342756,8.956068411328e-08,0.000168612914623935
"SOX2|6657",4.65570373647662,1.78851494186281,1.94251949988273e-07,0.00032914050406013
"PLD5|200150",4.24245581873529,-1.70228492358008,2.19945148771899e-07,0.000331388027483745
"MED24|9862",2.00931758306784,7.44826047168361,2.3469407045591e-07,0.000331388027483745
"PAMR1|25891",2.29707749821861,2.04167314965914,3.34131485075154e-07,0.00043550183716257
"FOXH1|8928",3.09542183166904,2.95414990927948,6.72819331868127e-07,0.000814303625655253
"SLC27A6|28965",2.27449122686201,2.93672990118026,8.10780051220796e-07,0.000836395577144517
"SCNN1G|6340",5.12820584523473,4.76713256832557,8.32896746240622e-07,0.000836395577144517
"CHGA|1113",4.12237412986806,4.84579466210942,8.39159868475967e-07,0.000836395577144517
"EIF2AK4|440275",1.74555172233336,6.61341055633596,1.35515451807346e-06,0.00127565211967982
"GCNT4|51301",2.70678339123501,0.220042457213414,1.50707987147743e-06,0.00134399796538493
"ATP4B|496",3.35041867881589,-0.546280342973232,2.03271450871884e-06,0.0017221157317866
"SATB2|23314",2.62445170332061,1.73357512224958,2.50585086958646e-06,0.00200395285409647
"UNC80|285175",2.5701446162009,0.436876184252405,2.60192178884102e-06,0.00200395285409647
"TMEM72|643236",3.77914862824869,-0.179054589044129,3.01547767575816e-06,0.00211502760552855
"PCDHGA9|56107",2.80064701813056,1.93627630483964,3.03827792965156e-06,0.00211502760552855
"GPR111|222611",3.13958633280074,-2.16608164138825,3.12061438492763e-06,0.00211502760552855
"PCDH8|5100",4.61849330743186,2.46154713773699,3.68077567637102e-06,0.00232595259539306
"TCAP|8557",2.53023305704977,0.306844062422255,3.70636922070424e-06,0.00232595259539306
"PCDHGA6|56109",2.2651887849842,1.41540338007727,4.01663868454945e-06,0.00243064020967878
"PSMD3|5709",1.7022050105044,7.8927565149688,4.45487290805203e-06,0.00260287470875978
"STARD3|10948",1.73594990956833,5.99518131403405,5.34098364132695e-06,0.00301658756062146
"CAPN5|726",1.85611784702646,6.61056178712982,5.90410652211954e-06,0.00322707035196108
"ABCC11|85320",2.8547391418996,-0.839096350562641,9.55060857446089e-06,0.00483684351397264
"CEACAM21|90273",3.22096047532726,0.648781859269209,9.62725473814727e-06,0.00483684351397264
"FRMPD2|143162",3.29210591912084,-0.615633726323084,9.70565860924633e-06,0.00483684351397264
"PAK1|5058",1.63039523362815,7.17856069682299,1.03961484877365e-05,0.0050329239993202
"HOXA11|3207",3.88668475050651,-0.0951405467180962,1.11973217526277e-05,0.00527020610490345
"NRSN1|140767",3.42394670847904,-0.0915573311163241,1.1647219494105e-05,0.00533379694886796
"ACER3|55331",1.60533621795095,4.92470243002445,1.73741741646054e-05,0.00761319712259881
"SCNN1B|6338",4.33690159061711,3.22087611620783,1.75232936603726e-05,0.00761319712259881
"MUC2|4583",4.73301851246368,0.717443401738341,2.21918267745054e-05,0.00925908134107246
"F3|2152",2.18656306596672,4.40719818858136,2.27935337837458e-05,0.00925908134107246
"PRLHR|2834",6.33709511571841,1.73828469280796,2.29509806612986e-05,0.00925908134107246
"KIAA1671|85379",1.33309059019887,6.40876989669873,2.41672919769009e-05,0.00952303709899088
"GDAP1L1|78997",2.98148766960218,0.113778688704546,2.51068556863391e-05,0.00966842188066657
"FAM123C|205147",3.17155642732431,0.411113042124426,2.82457278895433e-05,0.010635458074676
"DRD4|1815",-3.07786432342615,3.01902253856009,3.02488076962204e-05,0.0111420825566252
"PTPRN|5798",2.6724760409682,1.00903603288558,3.12205033425842e-05,0.0112553235880159
"POU3F2|5454",4.76117449247162,0.704603502376195,3.69498743734732e-05,0.013043305653836
"PCDHB4|56131",1.74347012012359,1.95692109334958,4.17734838261408e-05,0.0144059302649526
"NPDC1|56654",1.37482323781499,6.02631827345005,4.25104174485147e-05,0.0144059302649526
"ITM2A|9452",2.0311325610454,3.39239883480725,4.4354806640233e-05,0.0147362322296492
"RPPH1|85495",-1.85124948799522,4.55393445481506,5.00102881940133e-05,0.016295660060757
"NLRP5|126206",4.04264637717903,-2.18209739419277,5.20402159878731e-05,0.0166371588622363
"ERN2|10595",2.52711033243172,0.438138073261767,5.80532355419901e-05,0.0180145236282399
"CCDC42B|387885",2.52524043407842,2.43926710331912,5.84749055449241e-05,0.0180145236282399
"PGAP3|93210",1.58706256541909,5.61748611683757,6.18002457315782e-05,0.018698988637069
"ST8SIA3|51046",4.75682461782284,2.03981961945277,6.31231638158999e-05,0.0187641910122212
"GSTM3|2947",1.6669814147382,5.49776607440899,7.10124011240698e-05,0.0207454159421765
"ORMDL3|94103",1.49887453476069,6.0834286896014,8.59010315739002e-05,0.024669611508274
"SLC47A1|55244",2.73028812865,3.0104989036229,9.49607497240237e-05,0.0268169157220643
"C4BPA|722",3.53678379844321,0.527982498221306,9.73345133671527e-05,0.0270366556474268
"CCDC68|80323",1.66054791947267,1.24417007063752,9.9799627503419e-05,0.0271300180747064
"SYT4|6860",3.78857384129799,-0.30283326754336,0.000100872942558221,0.0271300180747064
"CECR6|27439",1.86414033353288,1.34056032435771,0.000104635830948405,0.0277023362435902
"KNDC1|85442",2.6613180284156,1.63814743488331,0.000150192925792625,0.0391518297635422
"ABCA12|26154",2.56618121626488,-0.0667774545340043,0.000165954888191655,0.0426051458412029
"ITIH2|3698",2.75020038769003,1.26499734819045,0.000177780839488559,0.044959978273047
"CHRD|8646",2.30768067581292,2.83492755511627,0.000198371663848551,0.0494295510624977
"THRA|7067",1.36936717203039,6.26949666707605,0.00022194258172347,0.0545013783293112
"PPP1R1B|84152",2.45788660633005,7.28747852652444,0.000245204881241901,0.0593535929680396
"STXBP5L|9515",2.12105417801471,-0.437400057572305,0.00024983536148974,0.0596226811983403
"C6orf174|387104",1.4873595405126,0.451592863932011,0.000268200159547813,0.0625381473530426
"DTHD1|401124",2.90102821028933,-0.726548852751082,0.000269433708496938,0.0625381473530426
"MARCH10|162333",2.07156199236329,0.484271816464658,0.000290319187825992,0.0664752475476162
"SLC5A12|159963",-2.64788106957723,2.14560954275351,0.000300654004096592,0.067923752605502
"ABP1|26",2.82893920113252,5.72909870511023,0.000308918415763059,0.0688725478511746
"FSIP1|161835",1.31763208332698,-0.333202229524731,0.000313160771166629,0.0689116377486669
"DES|1674",-2.4788785035826,4.18975093660506,0.000326857437530399,0.0710034925835266
"SLC30A3|7781",-4.65463246027993,1.97585494934756,0.000335623211064143,0.0719848061806435
"BNIPL|149428",-3.19215353313655,4.7747035868565,0.000345009348405362,0.0722156923443163
"ELMOD1|55531",2.39863653367697,-1.7624575310168,0.000352100225175527,0.0722156923443163
"LOC100133612|100133612",2.07771775497125,0.0824980079813253,0.000356439412883381,0.0722156923443163
"SCG3|29106",3.1827876743653,2.45151841346342,0.000357886503633514,0.0722156923443163
"GABRA1|2554",4.1027578643239,-1.37846009801067,0.000358009806239529,0.0722156923443163
"ACCN2|41",1.83555569483326,3.45383033467499,0.000371313735421205,0.0740181168585518
"FBLN7|129804",2.07611279428075,2.29206458373423,0.000378319454738624,0.0741441161540642
"C11orf16|56673",2.60700538081172,-0.0300247500590044,0.000380697480252808,0.0741441161540642
"XKR7|343702",2.73247384448376,0.320253492724185,0.000423749289115464,0.0815909994860502
"AQP11|282679",1.26892980224982,2.10614882854774,0.000443062700141026,0.0819899584380146
"AGR2|10551",2.29838720439143,4.81827100469037,0.000448886498794318,0.0819899584380146
"STAC2|342667",-2.79052975561638,2.1805680012055,0.000452001822075734,0.0819899584380146
"RSPRY1|89970",0.661269796671549,4.00749485114627,0.000452096127941123,0.0819899584380146
"ACTL6B|51412",4.47043634490957,0.494098671972033,0.000455286733369522,0.0819899584380146
"SLC6A1|6529",1.74417184205166,-0.0420609622304234,0.000455539691518023,0.0819899584380146
"SOD3|6649",1.70023844038313,5.6281143060536,0.000459693463858085,0.0819899584380146
"TSPAN7|7102",1.82556589019755,6.27899045964939,0.000469517717115777,0.0828698770709347
"CDHR3|222256",1.88960651725479,2.30999451965333,0.000483253110822295,0.0843970989896048
"KIAA1377|57562",1.4572213416863,2.90959392313444,0.000488132418613153,0.0843970989896048
"C1orf173|127254",2.78129221587439,0.944120173237201,0.000502592936746415,0.0860195426285986
"MET|4233",1.48213808938438,4.92096931933602,0.00054982581602529,0.0924342008952704
"HOXB9|3219",2.96558942283335,5.14739969928158,0.000564634989250114,0.0924342008952704
"NBLA00301|79804",2.2050779018975,-0.475551265519471,0.000565542655077792,0.0924342008952704
"NPY|4852",-5.73044519131088,1.55050951546442,0.000566070890180734,0.0924342008952704
"VTCN1|79679",2.42009881775661,6.93065066621636,0.000569579956374025,0.0924342008952704
