"DPEP3|64180"
"NPY1R|4886"
"CHGA|1113"
"NTS|4922"
"CDHR5|53841"
"NAT10|55226"
"GRP|2922"
"NOX4|50507"
"PTPRN|5798"
"VNN1|8876"
"L1TD1|54596"
"SCIN|85477"
"GRIA4|2893"
"DKK2|27123"
"PYGM|5837"
"GSDMB|55876"
"GRID2IP|392862"
"EN2|2020"
"IRX1|79192"
"PNMT|5409"
"NT5E|4907"
"LY6D|8581"
"XKR9|389668"
"ADAM6|8755"
"CHGB|1114"
"VGF|7425"
"ORMDL3|94103"
"TCAP|8557"
"HIF3A|64344"
"LHFPL4|375323"
"LRRTM4|80059"
"DHX40P1|653645"
"MMP10|4319"
"EPHA3|2042"
"LOC96610|96610"
"CORIN|10699"
"ACADL|33"
"AKR1C4|1109"
"MEGF10|84466"
"SLC6A15|55117"
"LRDD|55367"
"CACNA2D1|781"
"TMED9|54732"
"STARD3|10948"
"RRM1|6240"
"MMP11|4320"
"QSER1|79832"
"ATP5L|10632"
"IL12RB2|3595"
"HNF1A|6927"
"ANO3|63982"
"CAPRIN1|4076"
"CDK5R2|8941"
"UPK2|7379"
"PTPRZ1|5803"
"BAIAP2L2|80115"
"LRRC31|79782"
"SYT9|143425"
"PAX1|5075"
"AK5|26289"
"USH1C|10083"
"SLC12A1|6557"
"FAM19A3|284467"
"PGAP3|93210"
"ABCA12|26154"
"JPH3|57338"
"ERBB2|2064"
"psiTPTE22|387590"
"CARS|833"
"THBD|7056"
"NKAIN1|79570"
"TMEM151A|256472"
"MNX1|3110"
"ITIH2|3698"
"TNFSF8|944"
"PAX2|5076"
"C14orf105|55195"
"DISP2|85455"
"RPAP2|79871"
"UNC13A|23025"
"HOXC6|3223"
"IGF2BP3|10643"
"HTR1F|3355"
"SYP|6855"
"CTNNA2|1496"
"REG4|83998"
"TNFRSF17|608"
"NUP98|4928"
"FOXS1|2307"
"SOX21|11166"
"MYOD1|4654"
"GPRASP2|114928"
"FAM180B|399888"
"SCG3|29106"
"SPDYC|387778"
"ATP6V1C2|245973"
"SERPINA3|12"
"FASN|2194"
"TNNC1|7134"
"SLC25A22|79751"
"PTGER3|5733"
"IGJ|3512"
"PKP3|11187"
"CHI3L2|1117"
"LOC650368|650368"
"ATP5E|514"
"LRRC55|219527"
"ZPBP2|124626"
"IGFL2|147920"
"CPLX2|10814"
"HORMAD1|84072"
"EBF3|253738"
"PHRF1|57661"
"FCRL5|83416"
"LOC389458|389458"
"SLURP1|57152"
"PGAM2|5224"
"MARCH4|57574"
"PCDH15|65217"
"MYT1|4661"
"MYOC|4653"
"GPC3|2719"
"CHRNB2|1141"
"SCEL|8796"
"TKT|7086"
"PVALB|5816"
"KCNS1|3787"
"PSMD3|5709"
"SLC38A4|55089"
"TCP11L1|55346"
"IRF4|3662"
"CSAG1|158511"
"PRSS33|260429"
"SLC7A3|84889"
"RASGEF1C|255426"
"ATP5EP2|432369"
"FAM133A|286499"
"TPSD1|23430"
"C1QTNF3|114899"
"COL21A1|81578"
"MMP13|4322"
"STC1|6781"
"DMBX1|127343"
"FLT4|2324"
"UCN|7349"
"GRID1|2894"
"SRCRB4D|136853"
"PRG4|10216"
"EMID2|136227"
"SSRP1|6749"
"PAX6|5080"
"SPINLW1|57119"
"SNRPB2|6629"
"FOLR1|2348"
"TRHDE|29953"
"ELFN2|114794"
"RASGRP2|10235"
"DENND5A|23258"
"ZNF559|84527"
"NDUFS8|4728"
"LYNX1|66004"
"RUNDC3A|10900"
"MUM1|84939"
"NDUFA3|4696"
"EYA1|2138"
"MUC5B|727897"
"CDH22|64405"
"SLC47A2|146802"
"PDLIM7|9260"
"CRYAB|1410"
"KCNQ1|3784"
"ADAMTSL1|92949"
"PAN2|9924"
"C8orf59|401466"
"CD44|960"
"TMEM90A|646658"
"CST4|1472"
"RNF128|79589"
"TRPM5|29850"
"NLRP4|147945"
"CPA4|51200"
"CRISP3|10321"
"SUCNR1|56670"
"AARS|16"
"GFRA1|2674"
"GDA|9615"
"AQP12B|653437"
"RASGRF1|5923"
"DIO3|1735"
"SLC14A1|6563"
"ALG8|79053"
"JAK1|3716"
"CNPY1|285888"
"TMEM178|130733"
"GALNT13|114805"
"NETO1|81832"
"SLC3A1|6519"
"CACNA1C|775"
"LOC401387|401387"
"SLC9A4|389015"
"F5|2153"
"CDO1|1036"
"NELL1|4745"
"JPH2|57158"
"KCNH6|81033"
"OSBPL6|114880"
"PNPLA2|57104"
