"H2AFB1|474382"
"F10|2159"
"LCN1|3933"
"FLJ43860|389690"
"GLRA2|2742"
"FLG|2312"
"PYY|5697"
"SPDYC|387778"
"CLEC18A|348174"
"SEZ6L|23544"
"POU4F1|5457"
"FMO3|2328"
"ATP8B3|148229"
"SYNPO2|171024"
"SNORA53|677832"
"GDF5|8200"
"NGB|58157"
"CXCL5|6374"
"RRAD|6236"
"DUSP27|92235"
"PTPRT|11122"
"LTF|4057"
"PROK1|84432"
"CHGA|1113"
"MYH3|4621"
"LRRTM2|26045"
"TDGF1|6997"
"BCL2L10|10017"
"CTXN1|404217"
"KCNF1|3754"
"MAGEA9B|728269"
"AADACL3|126767"
"TUBA3D|113457"
"TRIM43|129868"
"SCUBE1|80274"
"TXNDC3|51314"
"SFTPB|6439"
"HAND1|9421"
"TRPM5|29850"
"PM20D1|148811"
"GORASP2|26003"
"CCL13|6357"
"OLFM4|10562"
"CCL18|6362"
"SNORA23|677808"
"FGF17|8822"
"CHIT1|1118"
"KLF6|1316"
"KLHL38|340359"
"MYO7B|4648"
"FLJ40330|645784"
"LOC201651|201651"
"HECW1|23072"
"SLC39A4|55630"
"PAEP|5047"
"ABCC9|10060"
"SOST|50964"
"ID1|3397"
"RBP2|5948"
"ITLN1|55600"
"ALOX12|239"
"S100P|6286"
"VIT|5212"
"RASGRP1|10125"
"MAPK15|225689"
"CCL17|6361"
"SNORA63|6043"
"CHP2|63928"
"C6orf15|29113"
"WFS1|7466"
"PABPC1L2B|645974"
"NCAN|1463"
"SPATA22|84690"
"HOXC10|3226"
"FAM70A|55026"
"ELOVL3|83401"
"CACNG1|786"
"SNORD15B|114599"
"L1TD1|54596"
"SCARNA5|677775"
"TCEAL5|340543"
"STK32B|55351"
"IL20|50604"
"CELF3|11189"
"DHDH|27294"
"PLCH2|9651"
"FAM9C|171484"
"CHRNA1|1134"
"MYH11|4629"
"ALOX12B|242"
"C18orf34|374864"
"LHFPL4|375323"
"PCSK9|255738"
"GPR183|1880"
"CYP4F22|126410"
"CEL|1056"
"SPAG11A|653423"
"SHH|6469"
"RELN|5649"
"ANKRD2|26287"
"INSL6|11172"
"ZNF295|49854"
"POU5F1|5460"
"KRT79|338785"
"UNC93A|54346"
"ADCYAP1|116"
"TCEAL6|158931"
"FIGNL2|401720"
"LOC84931|84931"
"LMX1B|4010"
"DPYSL5|56896"
"HOXD11|3237"
"CLEC18C|283971"
"DAB2IP|153090"
"DMKN|93099"
"PTGDS|5730"
"C3orf17|25871"
"HOXC9|3225"
"MEOX2|4223"
"GPR141|353345"
"HOXD13|3239"
"ATP1B2|482"
"GPKOW|27238"
"TGM2|7052"
"RRAGD|58528"
"CLEC18B|497190"
"NLGN1|22871"
"CRHR1|1394"
"D4S234E|27065"
"TG|7038"
"RBPJL|11317"
"CIB3|117286"
"FAM69C|125704"
"GRM1|2911"
"PLXNB3|5365"
"GCGR|2642"
"SAMHD1|25939"
"GABRB2|2561"
"CXADR|1525"
"BMI1|648"
"SLC30A2|7780"
"SIX3|6496"
"GLB1L2|89944"
"SNORA22|677807"
"AKAP6|9472"
"SCARNA10|692148"
"C10orf105|414152"
"SLC5A5|6528"
"MAP2K7|5609"
"GFRA1|2674"
"KEL|3792"
"CATSPERB|79820"
"NLRP7|199713"
"NFIL3|4783"
"PIGG|54872"
"ITGA3|3675"
"HABP2|3026"
"SFRS13B|135295"
"LOC220594|220594"
"KRTDAP|388533"
"MYO16|23026"
"AMZ1|155185"
"PYY2|23615"
"GPR172A|79581"
"FHOD3|80206"
"CSAG1|158511"
"MIAT|440823"
"SLITRK4|139065"
"BEX1|55859"
"HDC|3067"
"C22orf36|388886"
"CD24|100133941"
"AZU1|566"
"ATP6V1G2|534"
"SNORA74B|677841"
"TMEM145|284339"
"PSORS1C3|100130889"
"SRL|6345"
"HSPBAP1|79663"
"OR2W3|343171"
"RGS17|26575"
"SHD|56961"
"PTGES|9536"
"UMODL1|89766"
"GDPD5|81544"
"DLK1|8788"
"ABCA13|154664"
"FFAR2|2867"
"SCGB1D1|10648"
"TMEM59L|25789"
"HOXA9|3205"
"CTSE|1510"
"FBXO39|162517"
"KLHDC8A|55220"
"UGT2B15|7366"
"ELAVL3|1995"
"CHL1|10752"
"NAA50|80218"
"INSIG2|51141"
"LOC654433|654433"
"C16orf63|123811"
"HRASLS2|54979"
"GABBR2|9568"
"ARRDC2|27106"
"MAP6|4135"
"SDS|10993"
"CTDP1|9150"
"TMEM22|80723"
"FNDC5|252995"
"RNF183|138065"
"TNPO1|3842"
"C1orf114|57821"
"TNNT2|7139"
"FLRT1|23769"
"PDZD7|79955"
"ANKRD29|147463"
"APCDD1|147495"
"GPX2|2877"
"RHOJ|57381"
"C3orf14|57415"
"UPK1A|11045"
"CTNNB1|1499"
"CYP1B1|1545"
"TSPAN13|27075"
"IGF2AS|51214"
"SERPINB4|6318"
"PTGER1|5731"
"MYOZ2|51778"
"FBLN1|2192"
"FGF21|26291"
"SCN9A|6335"
"IL27RA|9466"
"RYR2|6262"
"RBM20|282996"
"DLX5|1749"
"FBLN7|129804"
