"C10orf99|387695"
"GPX2|2877"
"CXorf49B|100132994"
"HABP2|3026"
"FAIM2|23017"
"COL17A1|1308"
"SLC3A1|6519"
"HEY1|23462"
"PI15|51050"
"KIAA1324|57535"
"IGSF1|3547"
"AMY1A|276"
"NRG2|9542"
"NTS|4922"
"CLCA2|9635"
"TACR1|6869"
"KIAA2022|340533"
"GAS2|2620"
"SHH|6469"
"PCSK9|255738"
"MAGEB2|4113"
"NPTX2|4885"
"HMGB3|3149"
"DGKK|139189"
"SDF2L1|23753"
"PIGR|5284"
"HGF|3082"
"PHEX|5251"
"SOX2|6657"
"DSG3|1830"
"FZD2|2535"
"C12orf34|84915"
"NKX2-1|7080"
"FOXD2|2306"
"EPHX1|2052"
"GLRA2|2742"
"ATP13A4|84239"
"CHST2|9435"
"KRT6C|286887"
"PRR16|51334"
"CHST9|83539"
"SIX2|10736"
"HOXB8|3218"
"SLC23A1|9963"
"SPSB4|92369"
"CCL25|6370"
"CRYGS|1427"
"HOXB6|3216"
"PRLR|5618"
"RNF186|54546"
"STT3A|3703"
"CCDC8|83987"
"PTN|5764"
"HGD|3081"
"PRKAR1B|5575"
"UGT3A1|133688"
"CD70|970"
"HSP90B1|7184"
"SCGB2A1|4246"
"CHRNA9|55584"
"ELF5|2001"
"LRRC17|10234"
"C2CD4A|145741"
"ARSE|415"
"A2ML1|144568"
"PPARGC1A|10891"
"DCUN1D3|123879"
"C7orf63|79846"
"SPINLW1|57119"
"LAPTM4B|55353"
"CCDC78|124093"
"SCGB1C1|147199"
"TBX15|6913"
"SEMA4G|57715"
"FOXA1|3169"
"MUC6|4588"
"FAM166B|730112"
"RNF144B|255488"
"SLURP1|57152"
"SPEG|10290"
"SNAP25|6616"
"VAV3|10451"
"FZD9|8326"
"CARD9|64170"
"CPNE5|57699"
"FBXL16|146330"
"KCNJ1|3758"
"CSRP2|1466"
"PYY|5697"
"KRT6A|3853"
"TM7SF4|81501"
"PLA1A|51365"
"HIST1H2AE|3012"
"NR1I2|8856"
"C8orf47|203111"
"ICAM4|3386"
"CXorf40B|541578"
"IGFBP5|3488"
"ACSS3|79611"
"NXF3|56000"
"LOC653566|653566"
"SOST|50964"
"CDH19|28513"
"CLDN15|24146"
"EYA1|2138"
"CALML3|810"
"KIRREL3|84623"
"SPINK1|6690"
"KCNJ16|3773"
"HOXB9|3219"
"ACCS|84680"
"ICAM1|3383"
"CANX|821"
"KCNA5|3741"
"AREG|374"
"PDIA2|64714"
"PTPRQ|374462"
"DSCR6|53820"
"S1PR5|53637"
"AHR|196"
"MAP6|4135"
"CPT1C|126129"
"FAM27A|548321"
"ABAT|18"
"SAC3D1|29901"
"MLLT4|4301"
"WNT2B|7482"
"DIRC3|729582"
"TFPI2|7980"
"PGRMC1|10857"
"ICA1|3382"
"DGCR6|8214"
"LRIG1|26018"
"CHST3|9469"
"C5orf38|153571"
"TTLL3|26140"
"LRCH4|4034"
"CPNE4|131034"
"C1orf115|79762"
"UGT3A2|167127"
"TIGD3|220359"
"PCP4L1|654790"
"LEFTY1|10637"
"F8A1|8263"
"JAZF1|221895"
"BCAP31|10134"
"SLC10A3|8273"
"SLC26A2|1836"
"FEN1|2237"
"EEF1A2|1917"
"PENK|5179"
"CELF6|60677"
"TXNDC5|81567"
"ICAM5|7087"
"METTL10|399818"
"SLC14A1|6563"
"PPP2R2C|5522"
"CCDC64B|146439"
"TTYH1|57348"
"HOXA13|3209"
"SULT4A1|25830"
"GPR160|26996"
"ERGIC1|57222"
"IL13RA2|3598"
"BAMBI|25805"
"TDRD12|91646"
"EIF4G3|8672"
"FMN2|56776"
"TRIP6|7205"
"MAGT1|84061"
"VWA3A|146177"
"PDE8B|8622"
"PARM1|25849"
"FBXL13|222235"
"MAGEC2|51438"
"LMX1B|4010"
"CENPW|387103"
"PGM2L1|283209"
"DERL3|91319"
"GJB6|10804"
"LOC440905|440905"
"C7orf46|340277"
"AKR1B15|441282"
"SEMA5B|54437"
"SLC9A5|6553"
"TTC13|79573"
"PRL|5617"
"LOC84740|84740"
"CDK2AP2|10263"
"PLXNA2|5362"
"MAT1A|4143"
"GUCY1A2|2977"
"KCNQ5|56479"
"SEPT6|23157"
"IRS4|8471"
"DUSP27|92235"
"SLC16A8|23539"
"LOH3CR2A|29931"
"TNMD|64102"
"ANTXRL|195977"
"FAM3A|60343"
"SERPINH1|871"
"BAG3|9531"
"IGSF10|285313"
"C1orf87|127795"
"LOC153328|153328"
"OTC|5009"
"AQP4|361"
"SFTA2|389376"
"TMED9|54732"
"SPCS2|9789"
"PARP2|10038"
"AGTR1|185"
"DCPS|28960"
"MAGEA9B|728269"
"NTN5|126147"
"NAP1L6|645996"
"PTGDS|5730"
"ASB2|51676"
"SHOX2|6474"
"TAS1R1|80835"
"PPM1L|151742"
"ITM2C|81618"
"OLFM4|10562"
"KANK1|23189"
"TNFRSF17|608"
"KIAA1161|57462"
"HOMER2|9455"
"GCK|2645"
"GATA6|2627"
"MICB|4277"
"MAMDC4|158056"
"LOC96610|96610"
"RPS6KA2|6196"
"DPPA2|151871"
"LMAN2|10960"
"COL25A1|84570"
"SOX21|11166"
"CSTA|1475"
"HTATSF1|27336"
"IRF2BP1|26145"
"PTPRR|5801"
"SGEF|26084"
"TBX1|6899"
"ASTN1|460"
"CXorf40A|91966"
"ADCY8|114"
"CCDC160|347475"
"SCUBE3|222663"
"TMEM185A|84548"
"RAB24|53917"
"HYLS1|219844"
"SMOC1|64093"
"CDH20|28316"
"CMBL|134147"
"MAFK|7975"
"FAM153B|202134"
"NKAP|79576"
"TAS2R5|54429"
"HIST1H1C|3006"
"AGPAT4|56895"
"EAF2|55840"
"MANF|7873"
"WDR59|79726"
"WFDC8|90199"
"TG|7038"
"DPF2|5977"
"TEAD1|7003"
"GAS2L2|246176"
"IGDCC3|9543"
"ACOT4|122970"
"ZNF334|55713"
"UBL4A|8266"
"SERPINI1|5274"
"ELOVL2|54898"
"AQP3|360"
"PRPS2|5634"
"FERMT1|55612"
"NOV|4856"
"LOC283050|283050"
"CYP1B1|1545"
"PTTG1|9232"
"CCND2|894"
"TNFRSF13B|23495"
"FBXO41|150726"
"DGCR6L|85359"
"SIDT1|54847"
"WDR27|253769"
"PGBD5|79605"
"NXPH4|11247"
"MARK1|4139"
"SLC1A4|6509"
"HOXC11|3227"
"GPC3|2719"
"MGAT1|4245"
"SERPINI2|5276"
"ANKRD34B|340120"
"LCA5|167691"
"PIN4|5303"
"SYCE1|93426"
"CITED1|4435"
"CACNB2|783"
"SLC3A2|6520"
"LOC388955|388955"
"CMTM1|113540"
"C13orf30|144809"
"GPR17|2840"
"OBP2B|29989"
"ANK1|286"
"FAT2|2196"
"RARS|5917"
"PCDHGA3|56112"
"PMPCB|9512"
"NR4A3|8013"
"EDA|1896"
"C2CD4B|388125"
"ACOT13|55856"
"GABRB3|2562"
"FAR2|55711"
"PI16|221476"
"COCH|1690"
"MYCBPAP|84073"
"EI24|9538"
"ANKRD27|84079"
"XBP1|7494"
"MT1H|4496"
"ATP8B3|148229"
"TSPAN11|441631"
"COX8C|341947"
"FGD1|2245"
"LOC100133545|100133545"
"PLOD1|5351"
"PPP4R4|57718"
"PJA1|64219"
"LCN2|3934"
"MUC20|200958"
"BRI3BP|140707"
"WDR90|197335"
"GMNN|51053"
"SUSD4|55061"
"IRX6|79190"
"DMC1|11144"
"OLFM3|118427"
"TNXB|7148"
"C6orf164|63914"
"MNT|4335"
"PASD1|139135"
"PRODH|5625"
"BLNK|29760"
"MAGEL2|54551"
"NUDT8|254552"
"C8orf34|116328"
"CD79A|973"
"FAM113A|64773"
"FAM27C|100132948"
"TMPO|7112"
"MYO5B|4645"
"TMEM164|84187"
"FUT4|2526"
"SLC38A8|146167"
"ADAMTS13|11093"
"HOXC10|3226"
"LTF|4057"
"BCMO1|53630"
"C6orf186|728464"
"HAGHL|84264"
"PANK3|79646"
"CRABP1|1381"
"TNFRSF25|8718"
"DLEC1|9940"
"SCGB2A2|4250"
"GABRP|2568"
"FOXE3|2301"
"PER1|5187"
"GRIA2|2891"
"?|155060"
"NSDHL|50814"
"ST3GAL4|6484"
"GALNT13|114805"
"LPCAT1|79888"
"FKBP2|2286"
