"NR5A2|2494"
"EN2|2020"
"PCSK1|5122"
"C16orf89|146556"
"ERBB2|2064"
"KL|9365"
"SEZ6|124925"
"SRP14|6727"
"GRB7|2886"
"SOX2|6657"
"PLD5|200150"
"MED24|9862"
"PAMR1|25891"
"FOXH1|8928"
"SLC27A6|28965"
"SCNN1G|6340"
"CHGA|1113"
"EIF2AK4|440275"
"GCNT4|51301"
"ATP4B|496"
"SATB2|23314"
"UNC80|285175"
"TMEM72|643236"
"PCDHGA9|56107"
"GPR111|222611"
"PCDH8|5100"
"TCAP|8557"
"PCDHGA6|56109"
"PSMD3|5709"
"STARD3|10948"
"CAPN5|726"
"ABCC11|85320"
"CEACAM21|90273"
"FRMPD2|143162"
"PAK1|5058"
"HOXA11|3207"
"NRSN1|140767"
"ACER3|55331"
"SCNN1B|6338"
"MUC2|4583"
"F3|2152"
"PRLHR|2834"
"KIAA1671|85379"
"GDAP1L1|78997"
"FAM123C|205147"
"DRD4|1815"
"PTPRN|5798"
"POU3F2|5454"
"PCDHB4|56131"
"NPDC1|56654"
"ITM2A|9452"
"RPPH1|85495"
"NLRP5|126206"
"ERN2|10595"
"CCDC42B|387885"
"PGAP3|93210"
"ST8SIA3|51046"
"GSTM3|2947"
"ORMDL3|94103"
"SLC47A1|55244"
"C4BPA|722"
"CCDC68|80323"
"SYT4|6860"
"CECR6|27439"
"KNDC1|85442"
"ABCA12|26154"
"ITIH2|3698"
"CHRD|8646"
"THRA|7067"
"PPP1R1B|84152"
"STXBP5L|9515"
"C6orf174|387104"
"DTHD1|401124"
"MARCH10|162333"
"SLC5A12|159963"
"ABP1|26"
"FSIP1|161835"
"DES|1674"
"SLC30A3|7781"
"BNIPL|149428"
"ELMOD1|55531"
"LOC100133612|100133612"
"SCG3|29106"
"GABRA1|2554"
"ACCN2|41"
"FBLN7|129804"
"C11orf16|56673"
"XKR7|343702"
"AQP11|282679"
"AGR2|10551"
"STAC2|342667"
"RSPRY1|89970"
"ACTL6B|51412"
"SLC6A1|6529"
"SOD3|6649"
"TSPAN7|7102"
"CDHR3|222256"
"KIAA1377|57562"
"C1orf173|127254"
"MET|4233"
"HOXB9|3219"
"NBLA00301|79804"
"NPY|4852"
"VTCN1|79679"
"RET|5979"
"MASP1|5648"
"LEFTY1|10637"
"C17orf64|124773"
"FAM155A|728215"
"DPYSL4|10570"
"PATZ1|23598"
"FNIP2|57600"
"CHRNB2|1141"
"CNPY1|285888"
"RIMBP3|85376"
"ERAS|3266"
"FLJ37307|283521"
"SH3BP5|9467"
"SEC14L2|23541"
"SH3BGRL3|83442"
"PTPRR|5801"
"UBE2L6|9246"
"FXYD5|53827"
"RTDR1|27156"
"AOX1|316"
"RNF144B|255488"
"GAL3ST1|9514"
"VGF|7425"
"LOC254559|254559"
"SNORD17|692086"
"PPM1L|151742"
"C17orf37|84299"
"PNMT|5409"
"SLC18A3|6572"
"TMEM101|84336"
"C12orf36|283422"
"GLYCTK|132158"
"SSX1|6756"
"HRH3|11255"
"LRRC32|2615"
"RIPPLY1|92129"
"CSAG1|158511"
"LHFPL4|375323"
"ENPP3|5169"
"CCND2|894"
"LRRC55|219527"
"AKR1B10|57016"
"TMPRSS9|360200"
"PAPPA2|60676"
"PTPRN2|5799"
"CHRNA3|1136"
"RGMB|285704"
"SLC30A10|55532"
"KCNRG|283518"
"ADAMTS5|11096"
"TRIM31|11074"
"S100B|6285"
"RHOQ|23433"
"ZNF474|133923"
"GPR88|54112"
"EMR1|2015"
"MANEAL|149175"
"AK5|26289"
"UVRAG|7405"
"SCARNA5|677775"
"C2CD4A|145741"
"VWA3B|200403"
"GDA|9615"
"NEURL|9148"
"TBC1D4|9882"
"MGLL|11343"
"SLC44A3|126969"
"ZCCHC12|170261"
"SSX2|6757"
"IGFL2|147920"
"PIGR|5284"
"SLC25A24|29957"
"RSF1|51773"
