"logFC"	"AveExpr"	"t"	"P.Value"
"TRAM1"	-0.424911071768694	0.141010189842105	-3.96205348370516	0.000164057905600858
"GBL"	0.549848436118644	0.0480566782236842	3.82737987080343	0.000260938325921005
"PQBP1"	0.587459727209372	0.108405583381579	3.79668049799027	0.000289678651258859
"OGFRL1"	-0.506172735060817	0.282878036605263	-3.72577261135142	0.000368054900245905
"HDAC6"	0.460161159665005	0.0146176975789474	3.70840998247486	0.00039012300455058
"BAIAP2"	-0.382783349634098	-0.0568483969078947	-3.68822445256158	0.000417363411158121
"VCPIP1"	-0.548202709523429	0.182202694	-3.68606000864616	0.000420389531532248
"ATP8A1"	-0.609287218210369	0.158732123644737	-3.59409843083526	0.0005700869661443
"MTAP"	-0.358236251160518	0.154677620078947	-3.52144860119262	0.000722813129321479
"TM4SF1"	-0.859620565197407	0.301773271013158	-3.49219169575442	0.000794655026575818
"PNMT"	0.607418064336989	-0.122138945921053	3.47806173439141	0.000831723247183656
"CLCC1"	-0.488556705566301	0.143178820407895	-3.4381298923425	0.000945517099041405
"LIN7A"	0.409263495761715	-0.0590067006973684	3.40303712154072	0.00105751089457174
"ADAM2"	0.217029317448654	-0.00475735285526316	3.35611454223474	0.00122689377542546
"PAPSS2"	-0.543962441704885	0.000858058552631583	-3.35036757909205	0.00124931318784144
"TIMM17B"	0.638782109375872	0.200634004105263	3.33501256863922	0.0013111206083862
"MPZ"	0.394464137068794	0.0445852188947368	3.32322084506129	0.00136052551100574
"PRAF2"	0.552604089629113	0.0258309106578947	3.31085429169642	0.00141421606405042
"ENO3"	0.295656783018943	-0.177793281157895	3.29347585540685	0.00149303881787004
"MAPK10"	0.38294318729312	-0.0733187183552632	3.29239274803742	0.00149808556095078
"SH2B1"	0.315659888266201	-0.127814264776316	3.28435227059535	0.00153605412784873
"RRS1"	-0.477626683654038	-0.0719018758289474	-3.277503531136	0.0015691057174097
"ST6GALNAC2"	-0.982234219404786	-0.22284971675	-3.27697561570652	0.00157168091943907
"ZC3HAV1"	-0.517030336025922	0.144586243552632	-3.26971725029207	0.00160749222561786
"LMO4"	-0.422285481934197	0.0819698945263158	-3.26753933868678	0.00161838603864227
"VPS72"	0.428382976264208	0.188172176407895	3.24753428707641	0.00172174115100648
"RCL1"	-0.504592171984047	0.216215219473684	-3.21894363056327	0.00188023424879337
"GABARAP"	0.394232418190429	0.100573281565789	3.21685681927024	0.00189232197195654
