"logFC"	"AveExpr"	"t"	"P.Value"
"C16ORF5"	0.443674826807018	0.0859000767857143	4.10915034895417	0.000127203126385834
"MAD1L1"	0.602555436195906	-0.0338536894107143	3.88378063070744	0.000267642018945591
"NLGN1"	-0.77401433895614	-0.157706006946429	-3.67259047659859	0.000527425336011
"SERGEF"	0.36874242545614	-0.10405987475	3.63641980410023	0.000591262741533771
"ARMC9"	0.294024251707602	0.207379320428571	3.61447535559657	0.000633520663681252
"SEMA4A"	-0.507398677137427	-0.0229635169107143	-3.5770102102515	0.000712405463700973
"FCGBP"	1.0661487229883	0.08037401025	3.55892614113779	0.000753752812216596
"PRLR"	-0.510703397719298	-0.071614899	-3.50327844878184	0.000895805497646307
"SNAP25"	0.606698615885965	0.0677248898392857	3.48988508401974	0.000933614476547124
"PRKAR1B"	0.385129966149123	-0.142007672482143	3.45889976170476	0.00102698173252668
"PANK3"	-0.449585332891813	0.259122555160714	-3.4527856985318	0.00104642353947831
"EIF3F"	0.365826109146199	0.0418538927857143	3.39312730809459	0.00125537129415132
"ASB13"	0.394539407102339	-0.0938534691607143	3.39169740928813	0.00126083443187759
"PIK3CD"	0.277136958394737	0.196600793732143	3.26311623811714	0.00185545404266787
"TGFBRAP1"	0.293507737482456	0.0132570669464286	3.2453784944847	0.00195575528739223
"EED"	-0.374395905959064	0.0252840210357143	-3.21797303629815	0.00212081844642887
"GCK"	0.505748467149123	-0.140495049017857	3.19499361087658	0.00226923804238966
"CCDC53"	0.411451652730994	0.0436528051071429	3.16885941897827	0.0024498816875595
"PYGB"	0.468904890988304	-0.0694216034642857	3.15124551104338	0.00257915664038208
"ENY2"	-0.445748646339181	0.160647315285714	-3.14437902340179	0.0026312648149147
"TCTN3"	0.293733832225146	0.048692951625	3.13264596843671	0.00272259577297576
"SLC2A10"	0.384151060023392	0.248770373357143	3.11104940811942	0.00289852146388115
"TAF1C"	0.230260976327485	-0.153232796928571	3.10840563699627	0.00292077461211519
"CREBL2"	0.39352545052924	0.188102114410714	3.06260418243022	0.00333260303213158
"MBTPS1"	0.269248965122807	0.0731008024285714	3.03038733134408	0.00365413295546325
"NEK11"	0.394404062096491	-0.205697591017857	3.02513060246454	0.00370926550486196
"NPR2"	0.322780877292398	-0.196829750964286	3.02386083422017	0.00372269867861211
"HTRA1"	0.433879810207603	0.849500386303571	3.02353557546784	0.00372614695925073
"ACOT11"	0.267009222447368	-0.152139746517857	3.02263582328266	0.00373570134489502
"CD200"	0.80264822525731	0.00491629053571429	3.02207675402054	0.00374164955393927
"ABHD3"	-0.460579783807018	0.179759458535714	-2.98260780205476	0.00418461281579837
"CLIP3"	0.466333385836257	0.226615240571429	2.98192475425652	0.00419269180202715
"PPARGC1A"	-0.538671083295322	-0.0246293735892857	-2.97681546600805	0.00425358569397743
"AP3B2"	0.336180381909357	-0.206376020232143	2.9615113430282	0.00444094388468452
"DEGS1"	0.423959579450293	0.210603403571429	2.93608734948268	0.00476923914649703
"NOV"	-0.811911638356725	0.328623027535714	-2.93276269039818	0.00481379862099243
"PLSCR3"	0.323537874763158	0.250432397625	2.92348388697508	0.00494021270821134
"PARVA"	0.291060638687134	0.504157395160714	2.92149528883538	0.00496770312669299
"TCTN1"	0.360750363842105	-0.05013621675	2.9123864603074	0.00509544721597358
"MAST3"	0.382694818359649	-0.125994807267857	2.89549966999295	0.00534036423851687
"BMP4"	0.574910861479533	0.853729716535714	2.89252347743145	0.0053846439153972
"TEAD1"	0.373452466663743	0.196338903303571	2.88950685520718	0.00542987199967153
"SFTPD"	1.13452153692398	0.262923703	2.88828003502817	0.00544836611330004
"VPS39"	0.236337911225146	0.122097816232143	2.88286250047866	0.00553073431639284
"RARRES2"	0.442445605643275	0.987246946035714	2.87650490630678	0.00562886510442082
"ITIH3"	0.616727751251462	-0.00776217792857143	2.87173745846833	0.0057035063614618
"IL1RAPL2"	-0.28700158398538	-0.065587352375	-2.85995297868763	0.00589195687662675
"GRHL2"	-0.549144474298246	-0.15260904425	-2.83778286588266	0.00626218083056612
"AQP5"	-0.601758695111111	-0.140150268714286	-2.82933438698235	0.00640883269078867
"ALDH3A1"	0.276781629555555	-0.313611618214286	2.82901955111413	0.00641435852332363
"LILRB5"	-0.164776461687134	0.00538720744642857	-2.8285521355002	0.00642257046764122
"CROT"	0.341455505090643	0.0341431168392857	2.82625092658106	0.00646314170452154
"CIDEB"	0.25918939305848	-0.0795429161071429	2.82328146277448	0.00651584412813627
"C20ORF3"	0.289591846239766	0.08297841375	2.82159678586137	0.00654592003970351
"ANXA4"	0.447706371669591	0.120719668017857	2.80656105016097	0.0068200765327151
"SFN"	-0.562242882885965	-0.120102814589286	-2.80042106390317	0.00693504507104492
"NUDCD3"	0.293276639564327	-0.0821637050535714	2.79625952728486	0.00701398078519237
"SLC29A3"	0.309824689397661	-0.0541364260357143	2.7927824902183	0.00708056688362298
"TMPRSS4"	-1.01318904287134	0.272796716678571	-2.78368768467684	0.00725749780694626
"POLD3"	-0.323449226321638	-0.0803388970357143	-2.78212725956204	0.0072882604660639
"FMNL1"	0.26911982781579	0.225997785482143	2.77608141220763	0.00740858703071569
"CALCOCO1"	0.289394394739766	0.119822573696429	2.77583500759593	0.00741352961978935
"SFRS6"	0.408691314666667	0.114505308428571	2.77006337657786	0.00753017334598361
"SQLE"	-0.537885090251462	0.184442705321429	-2.76994930979975	0.0075324955392314
"GCHFR"	-0.514025373423977	-0.0598511965892857	-2.76721839996455	0.00758828900280537
"C1RL"	0.451275032353801	0.119532293839286	2.7668649535671	0.00759553775730715
"POLM"	0.312207940020468	-0.0215434319821429	2.76143113557472	0.00770778333846551
"CX3CR1"	0.717240178681287	0.460933420767857	2.75649622410616	0.00781104265177164
"LAPTM4B"	-0.420871938073099	0.496694756375	-2.75288218605167	0.00788746866849113
"PLXNA2"	-0.304298273599415	0.0535445108392857	-2.74991398932643	0.00795075043626486
"MTERFD1"	-0.395725515707602	0.0228572080714286	-2.73616153024654	0.00825008464675044
"LYPLA1"	-0.371714557070175	0.148446427178571	-2.72971309764415	0.00839397367259057
"RAD54B"	-0.42259198272807	-0.0998599014107143	-2.72893707115738	0.0084114441713591
"NAGPA"	0.391511166897661	0.0336419192321429	2.72306541106578	0.00854471668391382
"KIAA0652"	0.267287823	0.0614777641071429	2.71819291216559	0.00865677836322601
"ANAPC10"	-0.346915947862573	0.138930609946429	-2.7109272315051	0.00882638534621078
"RHOG"	0.344980007976608	0.221911823214286	2.71035874607578	0.0088397834926476
"AQP6"	-0.125150686122807	-0.0828806469642857	-2.69141305899039	0.00929710242133061
"SFXN3"	0.22096385952924	0.284185250232143	2.6903737888113	0.00932280474306298
"WASL"	-0.207867931511696	-0.0921351109821429	-2.6877844364985	0.0093871255230081
"CALB1"	-1.31220507601754	0.173601807178571	-2.68332017419844	0.00949897454610609
"ZMIZ1"	0.408828476666667	0.0495425822142857	2.67772941580242	0.00964076669111545
"H2AFX"	-0.26925211828655	-0.191983659392857	-2.67604039977023	0.00968398257368218
"MTDH"	-0.317552191380117	0.222405305928571	-2.67475649529104	0.00971695155185595
"PTPN18"	0.255609528230994	-0.158390731339286	2.67143935869784	0.00980260701396721
"GIP"	0.176135007657895	-0.00902798076785714	2.66578034100883	0.00995032977968457
"CDH22"	0.221945087473684	-0.0272584575714286	2.66571879342889	0.00995194754162472
"PRSS23"	-0.481555446526315	0.659114851785714	-2.66562798933501	0.00995433474231221
"MMP10"	-1.83744546744152	0.840547361875	-2.66222189333073	0.0100442584445527
"ST5"	0.374776126847953	0.0126241968214286	2.66178980324862	0.0100557188779392
"C2ORF42"	0.263467106915205	0.0224796782678571	2.66114255078034	0.0100729084733052
"FTO"	0.260260985131579	0.237798522017857	2.65871617397348	0.010137586928212
"WDHD1"	-0.331694896116959	-0.0391187582142857	-2.65627592267133	0.0102030176919104
"CRYAB"	0.644128104307018	0.454732670410714	2.64983971126809	0.0103774472734906
"WWOX"	0.229058466994152	-0.156513677285714	2.64947298596275	0.0103874675168265
"PYGL"	0.344792660274854	0.0617614066785714	2.64722817563914	0.0104489965150954
"TUBAL3"	0.615296881418129	-0.166117605875	2.64485444014418	0.0105144210482755
"AHR"	0.35740392655848	0.177926741589286	2.64209517498033	0.0105909412820308
"TMEM9B"	0.275058597652047	0.218627225839286	2.63865999082834	0.0106869162410958
"FBXO41"	0.403482658307018	-0.122711661017857	2.63572009448624	0.0107696828686819
"VPS41"	0.317202720011696	0.0883693458571429	2.63297193232276	0.0108475799436039
"BBS9"	0.314094281891813	-0.005933836625	2.63238516344598	0.0108642784242378
"MCM4"	-0.460979240233918	-0.129881118357143	-2.62331800059039	0.0111253123045367
"RAD21"	-0.390740863681287	0.192403739125	-2.61930271114918	0.0112427240735129
"C14ORF143"	-0.266729333885965	0.0190610638035714	-2.61388975408216	0.0114027922852831
"ALDH18A1"	0.271687304780702	0.129810603803571	2.61287270955983	0.0114330982701223
"PAX9"	-0.563676379347953	-0.273211570625	-2.61224470046404	0.0114518483577982
"CDC14B"	0.228997738862573	0.00383259958928571	2.61150759422157	0.0114738914150553
"SLC3A2"	-0.317696857874269	0.0853823605892857	-2.6107154724706	0.0114976227707034
"SCN9A"	-0.467252523982456	0.0618299450357143	-2.60967161944384	0.0115289640604112
"PPL"	0.496881838245614	0.418441751357143	2.60896662099122	0.0115501753612239
"VRK1"	-0.43052932501462	0.0299827618392857	-2.60889685713506	0.011552276278507
"DFNA5"	0.417622341096492	0.430159317232143	2.60570926195065	0.0116486416847634
"PSKH1"	0.287928437084795	0.0369710542321429	2.60498920163803	0.0116705111747382
"SLC14A1"	-0.936027736599415	0.0258715645178571	-2.60498032963866	0.0116707808657932
"ANP32E"	-0.343284321570176	0.0548919646607143	-2.60442489762573	0.0116876761884211
"FOXA2"	-0.501832338476608	-0.496238186232143	-2.60310415284108	0.0117279405046785
"TMEM126B"	-0.334140176508772	0.11976906175	-2.60230193107681	0.011752458681856
"SYT17"	0.442564581763158	-0.112441320482143	2.59971920532623	0.0118317113013145
"IKBKG"	0.248042448921053	-0.0904335329107143	2.59849974888953	0.011869299867927
"REC8"	0.528728602304093	-0.317554634714286	2.59770707666221	0.0118937914570746
"RIC3"	0.602707931959064	-0.143660545178571	2.59020326664552	0.0121279283371322
"C8G"	0.398448280763158	-0.545627170589286	2.58983763661497	0.0121394432445057
"C1QTNF1"	0.369420072076024	0.577281401392857	2.58982006915829	0.012139996752444
"BRE"	0.20807695580117	0.141330063071429	2.58878560312924	0.0121726307581661
"ARNTL"	0.294354395576024	0.404931272732143	2.58810267357755	0.0121942186317903
"HPS5"	0.323206568064327	0.292495368607143	2.58809265449572	0.0121945356007925
"RNPEPL1"	0.186164455760234	-0.07858590375	2.58266576307041	0.0123673286287704
"SIM2"	-0.52396998055848	-0.085518070375	-2.58244242536883	0.0123744871769625
"PI4K2A"	0.210781816830409	0.0839229042142857	2.57381061122193	0.012654060880621
"C10ORF59"	0.429395209046783	-0.105171232035714	2.57328330932539	0.0126713240610475
"CHML"	-0.463051556304093	0.0807479842857143	-2.56769850285269	0.0128554807429857
"PRPF3"	-0.258058940207602	-0.142035246732143	-2.56438135517463	0.0129660092428572
"TPD52"	-0.374522296540936	0.0557056490178571	-2.55041122785832	0.0134410254986799
"RASA4"	0.278953430850877	-0.130826250910714	2.54818635523759	0.0135181164669284
"SIX1"	-0.950643389725146	-0.18136935675	-2.54565297804636	0.0136063849259955
"AP2B1"	0.242849554046784	0.178002115071429	2.54110537559858	0.0137661450399438
"RAD51L3"	0.182612252687134	-0.011476989125	2.53665071287158	0.0139242862080734
"C11ORF73"	-0.360294174690058	0.232898495214286	-2.52808259346661	0.0142330899839875
"CELSR2"	0.380895320298246	-0.0802574204642857	2.5271524367366	0.0142669841564246
"TSEN34"	-0.398205991602339	0.0385387706428571	-2.52014252954954	0.0145247787278082
"FMO4"	0.282714247804094	0.124900686267857	2.51940155591846	0.0145522734218638
"KIFC3"	0.382942922961988	0.281846898982143	2.51593630793689	0.0146814815119578
"KIAA0174"	0.223213291581871	0.0891654174107143	2.5135231840114	0.0147720711591779
"APRT"	0.358168757622807	-0.134774182696429	2.51174737689324	0.0148390581973698
"POLR2K"	-0.335458694207602	0.142133744410714	-2.50887596979379	0.0149479547505702
"LCAT"	0.315825468391813	-0.0595371218214286	2.5082625511882	0.0149713117582543
"P2RX7"	0.267874114032164	0.251155580375	2.50763261507281	0.0149953320291825
"MRPL15"	-0.368874348657895	-0.0343946752678571	-2.5060011042744	0.0150577056489675
"DHX38"	0.192753279584795	-0.102866831678571	2.50580486623012	0.015065223721401
"KIF3C"	0.317381058710526	0.118538451089286	2.50268189507464	0.0151853252483372
"ZNF702"	-0.362379483573099	0.0718764934642857	-2.50244432694845	0.0151944968274696
"RCAN1"	0.373423780345029	0.533371543964286	2.49773751729165	0.01537724326844
"TTC35"	-0.361180929201754	0.325619046767857	-2.4950138972203	0.0154838949332188
"DRG2"	0.257014713701754	-0.0321074196071429	2.48727064450753	0.0157907641669597
"SLC29A2"	-0.234898087248538	-0.234816701089286	-2.48376177411644	0.0159316211997575
"CHCHD8"	-0.328671808473684	-0.0421589093928571	-2.48087393470599	0.0160483974417699
"CHEK1"	-0.43400132124269	0.0542021649464286	-2.48076948381397	0.0160526355784061
"ZDHHC7"	0.235251594596491	0.145103791714286	2.48017475928749	0.0160767860079962
"CPZ"	0.419235190219298	0.528979799232143	2.4792400224069	0.0161148098132026
"FLJ21062"	0.334207696736842	-0.253037746714286	2.47842316026936	0.016148105028567
"TAF2"	-0.298185762119883	0.172367472803571	-2.47771443892521	0.0161770426868002
"NFIX"	0.298373944561403	-0.0780358066428571	2.47768333181862	0.0161783138854694
"FLNC"	0.445810965552632	0.447381898232143	2.47559765211063	0.0162637514138738
"SPINK1"	-0.60020122527193	0.0380602146964286	-2.47274274053607	0.0163813592032924
"SAV1"	0.278837926605263	-0.0436249931964286	2.47123280585312	0.0164438702765785
"KCNK12"	0.403349266245614	-0.196160431142857	2.47069281517015	0.0164662779542998
"FOXC1"	-0.584462739046784	0.0928497138928571	-2.4689773605942	0.0165376458724929
"DCC1"	-0.393941546502924	0.0465174669285714	-2.466580719569	0.0166378199118273
"HMG4L"	-0.312810070309942	-0.0904885406071429	-2.46186620693728	0.0168364726018544
"HYDIN"	0.371354258055556	-0.276259858839286	2.45935346115201	0.0169432211785308
"MGC3196"	-0.329954112289474	-0.205008927160714	-2.4577783736517	0.0170104457475027
"DCLK1"	-0.549125032154971	0.468920813089286	-2.45541774186668	0.0171116469946175
"ACTR1B"	0.242407128865497	-0.150028530285714	2.44737765313424	0.0174604080801402
"PCDHA9"	-0.238607493026316	-0.0847496480892857	-2.44428162470293	0.0175964033844556
"ZNF576"	-0.301171603377193	-0.0274333515178571	-2.44206673937588	0.017694277620038
"PARVB"	0.281403788251462	0.0803287001785714	2.43875212933438	0.0178416625556061
"CELSR3"	0.246146441897661	-0.286508908160714	2.4352019938732	0.0180007434446255
"TRIM2"	-0.465143711374269	0.0940272626071429	-2.43315143723399	0.0180932082332719
"YKT6"	0.36282392972807	0.132870046017857	2.43250917296048	0.0181222572080138
"WNT2B"	0.547513691555555	-0.317223412785714	2.42999159375173	0.0182365293293345
"DUSP10"	-0.509849210982456	0.326694671785714	-2.42484329234837	0.018472226573866
"RGS4"	0.573900950195906	1.11621188258929	2.42275045774545	0.0185688192952772
"MMP1"	-1.26297930034503	0.842474466035714	-2.41758447825555	0.0188091940441433
"FES"	0.239756516538012	-0.144822523714286	2.41201183658846	0.0190716186169242
