"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RCAN1" 0.422682374367491 0.091718310277533 4.22459557416154 3.45922628476435e-05 0.229011599146927 1.09190823659742
"AREG" 0.733567613983084 -0.00306281460352423 4.12474850269306 5.19858921706104e-05 0.229011599146927 0.807444182108628
"EFEMP1" 0.756223442824876 0.147475365162996 4.09798700784498 5.79092040998634e-05 0.229011599146927 0.732152442129102
"ST7" -0.26459215384602 -0.00624276040528634 -3.9773245271092 9.35650605735092e-05 0.277513969661028 0.397730509836342
"RCL1" -0.333295023131316 0.0704434673436123 -3.67116775114533 0.000300626797780338 0.454250056543982 -0.412906551622597
"RBM28" -0.276191338078725 -0.0347826393171806 -3.65092949712242 0.000323908928345017 0.454250056543982 -0.464540226194819
"C17ORF60" 0.412706802909131 0.161986122837004 3.64875064685732 0.000326514358089007 0.454250056543982 -0.470084467518405
"NLGN1" -0.59807519710681 -0.0284096722070485 -3.62495093135322 0.000356288939335098 0.454250056543982 -0.530458890429904
"STEAP4" 0.470421119694752 0.0200604060176211 3.60968982813042 0.000376706774681434 0.454250056543982 -0.568993501759767
"HSPB7" 0.304094173510084 -0.103440534577093 3.60286225391717 0.000386193433117504 0.454250056543982 -0.586187823688936
"C9ORF82" -0.341486264264801 0.0859171646387665 -3.57898357917351 0.000421169135366133 0.454250056543982 -0.646101660351026
"KCNE4" 0.438107973836153 0.0220285886607929 3.54367410906535 0.000478381834739599 0.472960173945884 -0.734063777077484
"ZNF365" 0.349552736963565 0.0412060670352423 3.4484974852037 0.000671046811830409 0.564343533152126 -0.967382842574749
"COL8A1" 0.480571090133702 0.0562472528237885 3.42187576922872 0.000736724826905806 0.564343533152126 -1.03165048229312
"CX3CR1" 0.612572845179137 0.21779952246696 3.41633395715556 0.00075113202726287 0.564343533152126 -1.04497410845858
"NBL1" 0.454578314400889 0.0561855362643172 3.36106747126107 0.000909943192069778 0.564343533152126 -1.17680735356739
"PSIP1" -0.35602586971915 0.093200900845815 -3.35075131558374 0.000942856487351232 0.564343533152126 -1.20120599429432
"GDPD3" 0.403517809032856 -0.00185401989427313 3.3363577002598 0.000990636639857401 0.564343533152126 -1.23513766641059
"CYBRD1" 0.514986913084797 0.150323676845815 3.31947202187555 0.00104956283561052 0.564343533152126 -1.27477976132144
"PORCN" 0.429864143932878 -0.0117489571057269 3.31397926946914 0.00106942401306305 0.564343533152126 -1.28763665078243
"KIAA0020" -0.298310682263392 0.0841254934140969 -3.30225801961562 0.00111298250323745 0.564343533152126 -1.31500962189155
"GAP43" 0.295914657226523 -0.0607586358193833 3.28934038305521 0.00116289648594691 0.564343533152126 -1.34507711341933
"NNMT" 0.801242018665908 0.285801334964758 3.28622248051634 0.00117525217484536 0.564343533152126 -1.35231880397776
"VSIG4" 0.5159505205604 0.357730377330396 3.25090535654957 0.00132399486634332 0.564343533152126 -1.43392160758124
"PLAA" -0.252878553631425 0.0741127154449339 -3.24705084491631 0.00134124624483863 0.564343533152126 -1.44278035756631
"COL8A2" 0.513834069951746 0.0779254910176211 3.23892101032818 0.00137831897349968 0.564343533152126 -1.46143437261694
"DCLRE1A" -0.284498944153546 0.0464517125594714 -3.23859111772591 0.00137984320756434 0.564343533152126 -1.46219043795649
"SIX1" -0.682141412551507 -0.1309804969163 -3.23407736672163 0.00140085630137627 0.564343533152126 -1.47252841263946
"RBM34" -0.232700940816092 0.10372940814978 -3.21512519156416 0.00149236784053316 0.564343533152126 -1.51579507884297
"CHML" -0.340901131155389 0.120562886246696 -3.20069955081321 0.00156570546251985 0.564343533152126 -1.54857610742957
"UGT8" -0.439264534440035 0.0415174714977974 -3.18954093011114 0.00162471009683562 0.564343533152126 -1.57384294585456
"GAD1" -0.389395471551941 -0.0944979314977974 -3.18758996443051 0.00163523560406331 0.564343533152126 -1.57825249676061
"LUM" 0.820406681477879 0.403462822022026 3.18197899637099 0.00166585999186381 0.564343533152126 -1.59092092112399
"GHITM" 0.267257479655823 0.125838180995595 3.17748126893731 0.0016907909595847 0.564343533152126 -1.60106148471682
"OLR1" 0.366424235163847 0.187428431264317 3.16722606303637 0.00174893302268772 0.564343533152126 -1.62413492419947
"TRIM27" -0.234088031306441 0.045260904753304 -3.15653579960793 0.0018115072091108 0.564343533152126 -1.64811622759512
"FZD1" 0.266341075055086 0.0684231039867841 3.15012784606708 0.00185000161968077 0.564343533152126 -1.66245632448288
"OLFML3" 0.459263342411841 0.225822154079295 3.14931450771918 0.0018549413154645 0.564343533152126 -1.6642745961871
"FGF7" 0.485524419719258 0.116149766295154 3.1492816022244 0.00185514141882442 0.564343533152126 -1.66434814975459
"MATK" 0.25933291151388 -0.0671284725418502 3.13578774967879 0.00193890298878503 0.567810202475609 -1.69445292389555
"PTGER3" 0.313078600606701 0.0526132192687225 3.13212151673091 0.00196225710565576 0.567810202475609 -1.70261228359928
"ATP6V1B2" 0.28512523341542 0.173903425343612 3.11405225559696 0.00208120355385 0.576203956897837 -1.74270117828115
"PLEKHA9" -0.240714022175233 -0.0435183617048458 -3.09953757869782 0.00218153465146151 0.576203956897837 -1.77475304035857
"DNAJC17" 0.223010861990783 0.0249677755903084 3.0976351153878 0.0021950110670776 0.576203956897837 -1.7789441651235
"RAB31" 0.421917909944589 0.186193153506608 3.09642313986451 0.00220363630380463 0.576203956897837 -1.78161294068725
"MGC4294" 0.440326678826176 -0.0387042465462555 3.0818505473287 0.00230982168054594 0.576203956897837 -1.81362836052294
"BMP4" 0.434946668908371 0.0374100395947137 3.0788079300004 0.00233257910526684 0.576203956897837 -1.82029573690893
"LEPROT" 0.304421085395793 0.112483649189427 3.07878974188728 0.00233271576354662 0.576203956897837 -1.82033557524388
"GFPT2" 0.384335099104424 0.0671624503700441 3.07258041117506 0.00237980393526585 0.576203956897837 -1.83392380873068
"FOXA2" -0.488450246738451 -0.0677508775066079 -3.05255572786671 0.0025376919140623 0.581844841168643 -1.87757670550314
