p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.50528447927e-05	0.00997065742509	GO:0010647	b	5	positive regulation of cell communication	369; 405; 668; 835; 1028; 1594; 1749; 2079; 2100; 2150; 2152; 2771; 2785; 2934; 3383; 3570; 3622; 3625; 3710; 4217; 4653; 4826; 4914; 5028; 5602; 5608; 5692; 5710; 5906; 6373; 6376; 6403; 6662; 6863; 7097; 7294; 8322; 8482; 8737; 8743; 8767; 8915; 8932; 9693; 9894; 10013; 10045; 10325; 10370; 10499; 10537; 10565; 10614; 10670; 10769; 10961; 7482; 56829; 81929; 148022; 9218; 22930; 23043; 55801; 23213; 23390; 23770; 6299; 25759; 25970; 92140; 27230; 28952; 29995; 64083	TICAM1; ZDHHC17; TNFSF10; GOLPH3; SEH1L; HDAC6; CDKN1C; PSMD4; NNAT; CCDC22; RAP1A; RIPK1; TNIK; SOX9; ARAF; MAP2K6; RAPGEF2; ITPR3; MYOC; MTDH; GNAI2; GSN; NCOA2; UBD; VAPA; TXK; ERH; RAB3GAP1; NTRK1; SULF1; MAP3K5; LMCD1; INHBB; CYP27B1; ICAM1; CX3CL1; DLX5; IL26; ZC3HAV1; WNT2B; SH2B1; PLK2; RRAGA; FKBP8; SHC2; RRAGB; SALL1; ERP29; TELO2; MBD2; IL6R; SERP1; FOXL2; ARFGEF1; CITED2; CXCL11; ESR2; P2RY1; SEMA7A; BCL10; ING2; F3; CASP2; ARNT; TLR2; RIPK2; HEXIM1; GNG3; TAC1; MAPK10; F2RL1; PSMB4; SELP; FZD4; SH2D3A	1525	1523
2.91114085404e-05	0.00997065742509	GO:0009967	b	5	positive regulation of signal transduction	369; 405; 835; 1028; 1594; 1749; 2079; 2100; 2150; 2152; 2771; 2785; 2934; 3383; 3570; 3622; 3625; 4217; 4653; 4914; 5028; 5602; 5608; 5692; 5710; 5906; 6373; 6376; 6403; 6662; 7097; 7294; 8322; 8482; 8737; 8743; 8767; 8915; 8932; 9693; 9894; 10013; 10045; 10325; 10370; 10499; 10537; 10565; 10614; 10670; 10769; 10961; 7482; 56829; 81929; 148022; 9218; 23043; 55801; 23213; 23390; 23770; 6299; 25759; 25970; 92140; 28952; 29995; 64083	TICAM1; ZDHHC17; TNFSF10; SEH1L; HDAC6; CDKN1C; PSMD4; PLK2; RAP1A; RIPK1; TNIK; SOX9; MAPK10; MAP2K6; RAPGEF2; TELO2; MYOC; MTDH; GNAI2; GSN; NCOA2; UBD; VAPA; TXK; ERH; GOLPH3; NTRK1; SULF1; MAP3K5; LMCD1; INHBB; CYP27B1; ICAM1; CX3CL1; DLX5; IL26; ZC3HAV1; WNT2B; SH2B1; CCDC22; RRAGA; FKBP8; SHC2; RRAGB; SALL1; ERP29; MBD2; IL6R; HEXIM1; ARFGEF1; CITED2; CXCL11; ESR2; P2RY1; SEMA7A; BCL10; ING2; F3; CASP2; ARNT; TLR2; RIPK2; GNG3; FZD4; ARAF; F2RL1; PSMB4; SELP; SH2D3A	1396	1394
6.13351622493e-05	0.0140048620469	GO:0030033	b	5	microvillus assembly	688; 2054; 5906; 5912; 9693; 23043	RAP2B; STX2; TNIK; RAP1A; KLF5; RAPGEF2	24	24
0.000125564990642	0.0215030046474	GO:0010604	b	5	positive regulation of macromolecule metabolic process	369; 374; 378; 405; 668; 676; 688; 811; 835; 840; 999; 1028; 1749; 2100; 2101; 2150; 2152; 2274; 2355; 2771; 2785; 2801; 2908; 2934; 3199; 3202; 3204; 3383; 3570; 3622; 3625; 3987; 4038; 4217; 4683; 4914; 5028; 5134; 5564; 5602; 5608; 5692; 5710; 5906; 5912; 6376; 6662; 6772; 22976; 6895; 6908; 6919; 6942; 7006; 7020; 7030; 7068; 7088; 7097; 7294; 7421; 8322; 8368; 8482; 8536; 8543; 8737; 8743; 8767; 8811; 8915; 9184; 140462; 9444; 9663; 9693; 9695; 9869; 9894; 9992; 10013; 10370; 10492; 10499; 10565; 10769; 10961; 51079; 51193; 56829; 51547; 81606; 27074; 148022; 51750; 51043; 54360; 55810; 22930; 23043; 55801; 23586; 56616; 25937; 57343; 6299; 25759; 26108; 59343; 26354; 27230; 27339; 60491; 28952; 29882; 64764	KCNE2; PLK2; HIST1H4L; ARAF; RAPGEF2; IL26; GSN; GNL3; CAMK1; ASB9; THRB; NTRK1; MAP3K5; GOLGA2; ZC3HAV1; NDUFA13; CDH1; LBH; SETDB1; SHC2; SERP1; EDEM1; SEMA7A; SYNCRIP; TLR2; GALR2; GNG3; TNFSF10; CDKN1C; DDX58; RAB3GAP1; TFE3; CX3CL1; DLX5; FOXJ2; SIRT7; BUB3; PRKAB1; ERP29; SENP2; PAXIP1; CYTL1; TELO2; ANAPC2; ING2; ESR2; TBP; PRPF19; TICAM1; HDAC6; TLE1; RAP1A; TNIK; VDR; MAPK10; DIABLO; GNAI2; NCOA2; AREG; RTEL1; FZD4; STAT1; TEC; INHBB; ARF4; FHL2; NBN; ICAM1; FOSL2; CITED2; TCF20; RAP2B; PYGO1; SALL1; TCEA2; IL6R; BRDT; FOXL2; ARFGEF1; ZNF639; F3; LRP4; ARNT; WWTR1; PDCD2; LMO4; HOXA7; HOXA5; SOX9; HOXA2; F2RL1; PSMB4; PSMD4; CCDC22; RIPK1; LIMS1; MAP2K6; QKI; LPIN2; TFAP2A; KLF5; NR3C1; ESRRA; ZBTB7B; ZNF304; NIF3L1; TXK; P2RY1; BCL10; CASP7; CASP2; CALR; CREB3L2; TARBP2; LAMP3; RIPK2	2795	2783
0.000179023052873	0.018260351393	GO:0000975	m	5	regulatory region DNA binding	405; 668; 688; 1749; 2005; 2100; 2101; 2355; 2908; 3199; 3202; 3204; 5928; 6658; 6662; 6772; 6908; 6942; 7020; 7030; 7294; 7421; 171392; 7639; 7727; 7752; 6839; 8543; 8932; 10013; 10499; 10793; 51193; 80264; 83439; 51351; 51513; 53615; 55810; 56242; 56676; 57343; 6299; 64764	VDR; SALL1; HDAC6; ZNF253; FOXJ2; SOX9; SOX3; NCOA2; ZNF273; TXK; STAT1; TFAP2A; KLF5; ZNF430; TFE3; FOSL2; DLX5; TCF20; NR3C1; ESRRA; MBD3; ZNF200; SUV39H1; ASCL3; ZNF304; ZNF639; ZNF85; FOXL2; ZNF675; ESR2; CREB3L2; ETV7; ARNT; ZNF174; TBP; LMO4; TCF7L1; RBBP4; HOXA7; HOXA5; HOXA2; ELK4; MBD2; ZNF117	833	825
0.000226353991561	0.0119967615527	GO:0042612	c	5	MHC class I protein complex	3106; 3107; 3134; 3133	HLA-C; HLA-B; HLA-F; HLA-E	11	11
0.000302472252746	0.0344836952035	GO:1903522	b	5	regulation of blood circulation	477; 785; 844; 1832; 2100; 2150; 3383; 3710; 3750; 3784; 4634; 4881; 5028; 5142; 6376; 6505; 6863; 7068; 9992; 60598; 30819	KCND1; NPR1; SLC1A1; P2RY1; ESR2; KCNE2; TAC1; KCNK15; THRB; DSP; CACNB4; KCNIP2; ATP1A2; ICAM1; ITPR3; CX3CL1; CASQ1; F2RL1; KCNQ1; PDE4B; MYL3	299	299
0.000350247797198	0.0344836952035	GO:0034341	b	5	response to interferon-gamma	1594; 2634; 3106; 3107; 3134; 3383; 6376; 6772; 7294; 7412; 10492; 10537; 3133; 29927	SYNCRIP; TXK; STAT1; HLA-C; GBP2; HLA-F; HLA-E; UBD; CYP27B1; ICAM1; HLA-B; CX3CL1; SEC61A1; VCAM1	160	160
0.000352388126167	0.0344836952035	GO:1902531	b	5	regulation of intracellular signal transduction	369; 382; 1605; 2100; 2150; 2152; 2248; 2771; 2785; 3301; 3383; 3570; 3622; 3625; 4217; 4653; 4683; 4914; 5028; 5564; 5602; 5608; 5621; 5906; 5928; 6118; 6373; 6376; 6403; 6662; 6772; 6908; 7088; 7097; 7249; 171392; 8322; 8394; 8482; 8737; 8743; 8767; 8822; 8915; 9693; 9894; 10048; 10325; 10537; 10565; 10614; 10670; 10769; 10961; 51079; 56829; 440073; 81929; 148022; 53615; 55288; 9218; 23043; 55801; 23370; 23390; 23769; 89941; 25759; 59343; 92140; 28952; 259173; 29995; 64083	TICAM1; ZDHHC17; TNFSF10; MTDH; RHOT2; SEH1L; GOLPH3; TLE1; PLK2; RAP1A; NTRK1; RIPK1; TNIK; SOX9; MAPK10; MAP2K6; RAPGEF2; IL26; MYOC; IQSEC3; RPA2; GNAI2; UBD; VAPA; FZD4; STAT1; TSC2; RRAGB; PRNP; ARF6; MAP3K5; LMCD1; INHBB; RANBP9; NBN; ICAM1; NDUFA13; CX3CL1; FGF17; RHOT1; ZC3HAV1; SEMA7A; CCDC22; RRAGA; SHC2; PRKAB1; ARHGEF18; ERP29; SENP2; IL6R; FLRT1; DNAJA1; HEXIM1; DAG1; CXCL11; TELO2; P2RY1; FGF3; BCL10; ING2; ZNF675; F3; ESR2; TBP; PIP5K1A; RBBP4; TLR2; ALS2CL; RIPK2; GNG3; MBD3; ARAF; F2RL1; SELP; ARFGEF1	1683	1681
0.000476728950817	0.0361559363509	GO:0032608	b	5	interferon-beta production	7097; 8767; 56829; 148022; 23586; 64135; 26137	TICAM1; DDX58; IFIH1; TLR2; RIPK2; ZC3HAV1; ZBTB20	47	47
